#C03LData000.txt#
#Device is a Leader
#Data contains time in (mus) acceleration acc[xyz] in (LSB/g), rotation rates gyro[xyz](deg/s),flux densities mag[xyz] in (muT)#
#first row contains Date, factor acc[xyz],factor gyro[xyz], factor mag[xyz], sync signal (micro s),SensorId#
#,2048,16.40,6.66,28437117,2#
28495591,84,54,2102,-16,4,15,130,-105,70,1
28498095,76,56,2128,-13,5,15,137,-108,64,1
28500587,54,81,2128,-16,3,16,137,-108,64,1
28503081,72,62,2110,-14,8,14,137,-108,64,1
28505574,92,60,2153,-16,8,18,137,-108,64,1
28508067,69,69,2107,-13,9,15,140,-98,75,1
28510559,71,64,2147,-14,7,14,140,-98,75,1
28513052,70,68,2103,-13,6,14,140,-98,75,1
28515544,85,69,2125,-14,6,16,140,-98,75,1
28518038,62,77,2096,-13,3,14,138,-109,74,1
28520531,72,46,2126,-16,1,15,138,-109,74,1
28523026,72,67,2118,-15,7,16,138,-109,74,1
28525518,63,56,2112,-15,5,15,138,-109,74,1
28528014,77,62,2132,-13,8,14,136,-104,69,1
28530504,79,71,2119,-14,7,15,136,-104,69,1
28532999,74,58,2110,-15,8,15,136,-104,69,1
28535492,65,67,2105,-11,9,13,136,-104,69,1
28537983,74,85,2105,-15,1,17,137,-103,77,1
28540476,56,63,2103,-12,4,15,137,-103,77,1
28542970,78,74,2116,-14,9,17,137,-103,77,1
28545463,63,62,2119,-17,5,15,137,-103,77,1
28547957,88,68,2126,-10,5,14,148,-104,69,1
28550449,77,44,2132,-12,2,15,148,-104,69,1
28552943,64,70,2130,-13,6,15,148,-104,69,1
28555436,65,54,2124,-12,8,18,148,-104,69,1
28557930,91,59,2130,-16,6,13,144,-105,70,1
28560420,69,59,2100,-15,7,13,144,-105,70,1
28562913,73,64,2110,-13,6,18,144,-105,70,1
28565405,72,54,2093,-15,4,19,144,-105,70,1
28567895,53,39,2122,-14,6,16,135,-101,77,1
28570387,77,65,2128,-14,6,15,135,-101,77,1
28572880,69,72,2106,-15,9,12,135,-101,77,1
28575373,67,71,2121,-16,10,14,135,-101,77,1
28577866,84,62,2140,-16,3,18,144,-108,73,1
28580357,70,67,2121,-12,7,15,144,-108,73,1
28582850,79,72,2159,-12,6,17,144,-108,73,1
28585343,65,51,2114,-16,7,15,144,-108,73,1
28587833,73,59,2119,-15,8,12,138,-104,72,1
28590326,100,69,2095,-16,3,15,138,-104,72,1
28592820,63,61,2117,-12,7,16,138,-104,72,1
28595313,67,72,2105,-13,5,13,138,-104,72,1
28597803,71,62,2115,-16,6,16,140,-110,75,1
28600293,79,58,2123,-13,7,14,140,-110,75,1
28602786,69,74,2107,-14,3,16,140,-110,75,1
28605278,89,76,2128,-15,6,16,140,-110,75,1
28607772,78,56,2086,-15,7,18,138,-104,67,1
28610263,84,55,2128,-15,5,16,138,-104,67,1
28612756,79,65,2110,-12,6,14,138,-104,67,1
28615250,57,61,2104,-15,5,17,138,-104,67,1
28617742,94,76,2098,-14,7,16,142,-101,73,1
28620234,71,62,2112,-13,6,16,142,-101,73,1
28622727,75,64,2101,-15,5,19,142,-101,73,1
28625219,67,53,2116,-15,6,16,142,-101,73,1
28627709,80,68,2102,-15,6,18,136,-97,73,1
28630203,67,55,2117,-12,3,14,136,-97,69,1
28632696,75,61,2127,-11,9,17,136,-97,69,1
28635190,71,65,2121,-15,5,16,136,-97,69,1
28637682,87,62,2129,-14,4,16,144,-101,69,1
28640178,74,76,2117,-12,8,17,144,-101,68,1
28642670,78,56,2148,-15,3,17,144,-101,68,1
28645165,84,81,2117,-11,5,16,144,-101,68,1
28647657,60,61,2118,-14,8,16,141,-101,68,1
28650151,69,53,2130,-15,8,15,141,-102,69,1
28652644,62,70,2118,-12,8,14,141,-102,69,1
28655138,64,62,2119,-15,6,15,141,-102,69,1
28657628,76,52,2092,-11,5,13,136,-102,69,1
28660122,74,76,2085,-14,6,14,136,-107,65,1
28662617,74,75,2117,-15,7,14,136,-107,65,1
28665109,60,79,2130,-10,8,16,136,-107,65,1
28667602,72,67,2118,-13,6,14,136,-107,65,1
28670096,68,67,2121,-14,7,15,142,-101,68,1
28672591,65,67,2141,-14,9,15,142,-101,68,1
28675084,84,76,2114,-17,4,14,142,-101,68,1
28677577,74,72,2143,-15,6,15,142,-101,68,1
28680071,76,69,2125,-16,4,16,137,-110,68,1
28682565,75,63,2116,-11,3,16,137,-110,68,1
28685057,67,71,2138,-16,7,17,137,-110,68,1
28687548,73,74,2161,-14,5,13,137,-110,68,1
28690042,59,71,2136,-14,9,13,135,-96,70,1
28692532,60,70,2120,-15,5,13,135,-96,70,1
28695028,69,56,2085,-11,7,14,135,-96,70,1
28697520,87,60,2119,-13,6,17,135,-96,70,1
28700016,80,84,2114,-13,5,14,141,-104,67,1
28702506,86,52,2127,-13,6,16,141,-104,67,1
28705002,78,72,2132,-17,4,15,141,-104,67,1
28707493,53,78,2133,-18,6,14,141,-104,67,1
28709987,76,56,2113,-8,4,14,140,-101,80,1
28712480,79,80,2120,-16,5,18,140,-101,80,1
28714975,79,70,2097,-11,7,15,140,-101,80,1
28717465,78,71,2101,-13,6,15,140,-101,80,1
28719959,75,60,2117,-15,2,18,141,-99,74,1
28722452,89,74,2088,-15,4,17,141,-99,74,1
28724946,83,64,2127,-14,5,16,141,-99,74,1
28727438,78,60,2123,-15,4,14,141,-99,74,1
28729932,72,68,2104,-12,5,15,136,-102,72,1
28732424,73,55,2091,-15,3,15,136,-102,72,1
28734917,86,65,2117,-13,8,15,136,-102,72,1
