Time,East,North,z,v
114664500,79412.01194041154,242013.435256714,2341.301,0.0
114664600,79412.0043792721,242013.43515511416,2341.303,0.07821227248037414
114664700,79412.00408071266,242013.45739067998,2341.257,0.5109219448577306
114664800,79411.99637031961,242013.46840691753,2341.229,0.31060822965832746
114664900,79412.00378205511,242013.47962604742,2341.237,0.15645275977575596
114665000,79412.00333417843,242013.5129793221,2341.178,0.6777483226739598
114665100,79411.9957730576,242013.51287776046,2341.175,0.08134592532133504
114665200,79411.9880625744,242013.52389381267,2341.171,0.14027640280917045
114665300,79411.9802029018,242013.5460278336,2341.12,0.5614787574689822
114665400,79411.96508075121,242013.54582489282,2341.09,0.3359592812692537
114665500,79411.9498091322,242013.55673935357,2341.087,0.19007616544160075
114665600,79411.9420987586,242013.5677556293,2341.054,0.3563389788044171
114665700,79411.91941528762,242013.56745072268,2341.074,0.3024143450615334
114665800,79411.91140627922,242013.60070241056,2341.015,0.6819530433882599
114665900,79411.88131111479,242013.5891784588,2341.016,0.32238930912242747
114666000,79411.87315273639,242013.6335477447,2340.958,0.7347667025378415
114666100,79411.85773200823,242013.65558033343,2340.887,0.7592166240711793
114666200,79411.85002159313,242013.66659652442,2340.865,0.2578322485689071
114666300,79411.82703954473,242013.6885271473,2340.844,0.38078297315229764
114666400,79411.81903057887,242013.72177892178,2340.774,0.7790763445640427
114666500,79411.78137419197,242013.7101531988,2340.799,0.4666790143009008
114666600,79411.77351444165,242013.73228705674,2340.769,0.3809965874108386
114666700,79411.76565480792,242013.7544211559,2340.708,0.6536500567352942
114666800,79411.73555929243,242013.74289649073,2340.802,0.9936975726341921
114666900,79411.72028779563,242013.75381119922,2340.767,0.3971510421100232
114667000,79411.71272658429,242013.75370945223,2340.788,0.223197580572844
114667100,79411.6974548458,242013.76462366898,2340.817,0.3454402210450423
114667200,79411.68233257893,242013.7644204935,2340.818,0.15155407703619597
114667300,79411.65935040677,242013.7863508612,2340.83,0.3395521639362792
114667400,79411.64407896259,242013.79726567585,2340.781,0.5247179683543532
