Time,East,North,z,v
4204589391,79408.24376062056,242006.2794358069,2309.986,0.04768647607026546
4204689809,79408.24390994557,242006.26831813063,2309.995,0.0412189276910499
4204789626,79408.26659322983,242006.26862258743,2310.032,0.08563877626402656
4204890682,79408.25176953364,242006.24618394487,2310.067,0.06531462317123173
4204989229,79408.24450697079,242006.22384686954,2310.104,0.04770744176750625
4205088150,79408.2443576156,242006.23496448435,2310.103,0.05278257288158659
4205188558,79408.25191874559,242006.2350660395,2310.106,0.05949789912257407
4205286297,79408.23709506763,242006.21262743603,2310.136,0.089
4205388504,79408.23694570105,242006.22374502756,2310.138,0.05301886456724625
4205489263,79408.207447814,242006.16775043495,2310.169,0.11328724553099523
4205589671,79408.22212204954,242006.20130647998,2310.161,0.052478567053607705
4205688629,79408.2445067518,242006.22384642716,2310.162,0.04847679857416329
4205789139,79408.25191855663,242006.23506566044,2310.156,0.04610856753359401
4205889527,79408.22923521226,242006.2347610779,2310.135,0.04806245936279167
4205989908,79408.19988654826,242006.16764860414,2310.202,0.07362744053679986
4206090318,79408.22938444298,242006.22364321258,2310.169,0.060249481325568274
4206189053,79408.20685036686,242006.21222084016,2310.172,0.06181423784210237
4206291038,79408.25161995548,242006.2573011117,2310.125,0.05419409561935691
4206389603,79408.25176927305,242006.24618341867,2310.136,0.07395268757793728
4206489984,79408.21441158731,242006.21232258435,2310.151,0.02979932885150268
4206586961,79408.20729840605,242006.17886794358,2310.182,0.05732364259186606
4206691015,79408.19988644255,242006.167648389,2310.23,0.06382789358893179
4206789580,79408.21500869136,242006.16785148066,2310.239,0.03567912554982255
4206890323,79408.20789552513,242006.13439687062,2310.266,0.02874021572639983
4206988594,79408.20108083147,242006.07870655134,2310.358,0.051244511901275824
4207090820,79408.19337039533,242006.0897227088,2310.341,0.039610604640676714
4207191217,79408.18625731546,242006.05626827665,2310.345,0.03652396473549935
4207287946,79408.18610789606,242006.06738576386,2310.361,0.04640043103248072
4207390622,79408.20108093345,242006.07870675623,2310.331,0.08888756943465155
4207489584,79408.20864197663,242006.07880813815,2310.357,0.06935416353759881
4207588140,79408.20123022453,242006.06758901197,2310.349,0.011704699910719625
4207688531,79408.20093162348,242006.08982446417,2310.318,0.03352610922848042
4207787039,79408.2086420294,242006.07880824525,2310.343,0.05061620293937505
4207885602,79408.20834343992,242006.10104372073,2310.309,0.056196085272908466
4207985968,79408.22331628812,242006.11236433778,2310.329,0.1199374837154757
4208088559,79408.22346551504,242006.10124646127,2310.364,0.08884255736976508
4208189685,79408.2311759325,242006.09023026656,2310.386,0.09622889378975527
4208286398,79408.2461488827,242006.10155108664,2310.379,0.13920847675339315
4208388668,79408.25341134392,242006.123887958,2310.369,0.1437602170282168
4208488431,79408.26097245487,242006.1239894759,2310.377,0.10919706955774958
4208588808,79408.22346551869,242006.10124646686,2310.363,0.026191601707417588
4208687845,79408.26067386854,242006.1462249579,2310.342,0.12794139283281233
4208790080,79408.26823501408,242006.1463265475,2310.341,0.13272904731067725
4208886797,79408.2756468038,242006.15754575003,2310.339,0.10675673280875544
4208989009,79408.28290916234,242006.17988241185,2310.356,0.11652467549836816
4209087740,79408.26853358874,242006.12409104034,2310.379,0.0679632253501848
4209186284,79408.27549745193,242006.16866337042,2310.337,0.0681615727518079
4209288286,79408.27504966123,242006.2020167755,2310.261,0.09615612304996494
4209388692,79408.26763783021,242006.19079748634,2310.274,0.07813449942247022
4209487591,79408.24570088467,242006.13490406796,2310.358,0.062369864518050704
4209589823,79408.25356074426,242006.11277043447,2310.358,0.079724525711979
4209688393,79408.25356069517,242006.11277033575,2310.371,0.042731721238442995
4209788760,79408.26838433894,242006.13520887028,2310.35,0.04301162633521313
4209886244,79408.26112189684,242006.1128720371,2310.355,0.03226453160980335
4209989655,79408.2759456013,242006.1353106955,2310.318,0.04937610758251403
4210088212,79408.26793661635,242006.16856240947,2310.256,0.08509406559801923
4210188632,79408.24614920704,242006.10155174136,2310.293,0.09721625378505386
4210287707,79408.24629849846,242006.0904339971,2310.311,0.09017760254076397
4210389953,79408.26853397401,242006.124091818,2310.277,0.051826634079399754
4210485219,79408.26868326867,242006.11297408305,2310.294,0.04167733196834941
4210587434,79408.28290978895,242006.17988368124,2310.19,0.0811480129146734
4210688388,79408.27549794264,242006.1686643632,2310.207,0.1135649593844862
4210786326,79408.2609728284,242006.1239902312,2310.278,0.057784080852774665
4210886704,79408.25356112559,242006.1127712056,2310.257,0.0544885309033011
4210988947,79408.24644798973,242006.0793166561,2310.276,0.08698275691193054
4211086690,79408.2615702122,242006.07951969374,2310.292,0.03760319135392633
4211187086,79408.2621673088,242006.03504857793,2310.382,0.054046276467486644
4211287480,79408.24023051733,242005.97915547155,2310.425,0.06526101439603893
4211387913,79408.21028457854,242005.9565137541,2310.449,0.0363455636907725
4211486788,79408.210881837,242005.91204296425,2310.496,0.09247702417357513
4211587175,79408.21859223233,242005.90102672204,2310.524,0.045760244754590194
4211686092,79408.21829362733,242005.92326216772,2310.494,0.02658947160061666
4211786489,79408.1963568766,242005.86736914515,2310.526,0.09306449376641986
4211888728,79408.20376859148,242005.8785881959,2310.544,0.05462600113499065
4211987412,79408.1889448711,242005.8561495077,2310.585,0.05532630477449221
4212087825,79408.16641070292,242005.84472695552,2310.612,0.07986864215698174
4212186380,79408.20361923611,242005.88970581163,2310.543,0.017578395831246946
4212286505,79408.20346991485,242005.9008234935,2310.533,0.03168595903550972
4212388905,79408.2036192853,242005.88970591128,2310.53,0.02085665361461421
4212489277,79408.24052876746,242005.95691930875,2310.549,0.04570557952810576
4212589678,79408.24023017376,242005.9791547777,2310.516,0.043726422218150894
4212690068,79408.24008095446,242005.99027266633,2310.479,0.04291852746774987
4212787048,79408.27684143896,242006.06860440876,2310.402,0.06246599074696567
4212889684,79408.24674609627,242006.05708020646,2310.438,0.08459905436823748
4212989429,79408.23222100045,242006.01240611263,2310.504,0.014696938456699069
4213088004,79408.21754676806,242005.97885007598,2310.511,0.06854195795277518
4213192405,79408.22480920653,242006.00118689984,2310.507,0.038262252939417984
4213289139,79408.23177314222,242006.04575937614,2310.446,0.04614108798023731
4213391394,79408.23162377541,242006.05687696766,2310.448,0.03170173496829472
4213490292,79408.2314744845,242006.06799471471,2310.43,0.020223748416156685
4213592951,79408.24614884489,242006.10155100934,2310.389,0.03130495168499706
4213693349,79408.23117583453,242006.09023006633,2310.412,0.027202941017470887
4213789495,79408.2531126858,242006.14612329472,2310.353,0.06140032573203501
4213893548,79408.2673391837,242006.2130328482,2310.255,0.08095060222135472
4213990843,79408.28216278196,242006.23547129147,2310.246,0.0661513416341649
4214091575,79408.29698650054,242006.25790997967,2310.205,0.05967411499134277
4214191977,79408.28912680347,242006.28004394285,2310.162,0.0709013399027127
4214290543,79408.30380108372,242006.31360007823,2310.142,0.07049822692805827
4214388082,79408.31847546561,242006.3471564185,2310.095,0.07877816956492452
4214491500,79408.32573803194,242006.36949350592,2310.057,0.04939635614091387
4214590051,79408.33300058266,242006.39183055982,2310.023,0.07429670248402684
4214690852,79408.33996452067,242006.43640304357,2309.961,0.08021845174272563
