Time,East,North,z,v
205316300,79407.07444179621,242022.38707359973,2322.364,0.0
205316400,79407.05946898459,242022.37575298082,2322.345,0.2670746638646502
205316500,79407.0594690071,242022.37575302552,2322.339,0.05999999999858119
205316600,79407.05946907886,242022.3757531708,2322.32,0.18999999999778083
205316700,79407.05205734592,242022.3645340437,2322.312,0.15645272247124534
205316800,79407.05961850451,242022.36463569757,2322.302,0.12536802732987246
205316900,79407.06703031254,242022.37585497927,2322.29,0.18021502203072937
205317000,79407.05946916195,242022.37575333845,2322.298,0.11007789093928085
205317100,79407.05205748173,242022.36453431845,2322.276,0.2578322213532503
205317200,79407.05190814692,242022.3756519733,2322.27,0.12633412876579614
205317300,79407.05946930898,242022.37575363554,2322.259,0.1334808685804245
205317400,79407.05205752337,242022.36453440413,2322.265,0.1472326538783749
205317500,79407.04449650085,242022.36443302315,2322.239,0.27077138340879103
205317600,79407.05205761375,242022.36453458574,2322.241,0.07821216065244568
205317700,79407.05190823352,242022.37565214932,2322.247,0.12633412876579614
205317800,79407.04434713213,242022.37555060908,2322.242,0.09064845323334139
205317900,79407.03708473805,242022.35321383644,2322.239,0.2367665215420407
205318000,79407.03693536163,242022.3643314056,2322.244,0.12190287007887307
205318100,79407.02952363265,242022.35311228782,2322.235,0.16179447397030147
205318200,79407.03708473805,242022.35321383644,2322.239,0.08554029503027932
205318300,79407.02952365522,242022.3531123344,2322.229,0.12536802652343004
205318400,79407.02211190721,242022.3418931784,2322.225,0.1402763471835219
205318500,79407.01470020835,242022.33067412116,2322.208,0.216742815517785
205318600,79407.0069897227,242022.3416901352,2322.21,0.1359317765499947
205318700,79406.99957795603,242022.33047094196,2322.211,0.13482376599103896
205318800,79406.99957795956,242022.33047094755,2322.21,0.009999999997489795
205318900,79406.99201684287,242022.33036937844,2322.209,0.07627019125440598
205319000,79406.9846051588,242022.319150351,2322.188,0.24935407587013847
205319100,79406.99231565617,242022.30813436117,2322.183,0.14344842704439562
205319200,79406.98475462949,242022.30803297088,2322.158,0.26118411566845195
205319300,79406.9847545995,242022.3080329122,2322.166,0.08000000000265572
