Time,East,North,z,v
26998900,79416.74498882715,242024.21839051135,2310.418,0.060712436946642155
26999000,79416.72971718071,242024.22930486687,2310.427,0.14541664278891878
26999100,79416.73016510103,242024.1959516257,2310.482,0.05631163290120435
26999200,79416.7227532607,242024.1847322276,2310.508,0.07041306696913578
26999300,79416.72290254559,242024.17361443397,2310.532,0.044821869662029945
26999400,79416.7156400168,242024.15127729904,2310.575,0.03112876483254676
26999500,79416.71593870825,242024.12904196326,2310.591,0.04422668877499196
26999600,79416.72349973627,242024.12914337218,2310.615,0.07535250493513802
26999700,79416.70867614925,242024.10670476686,2310.642,0.06957729514719582
26999800,79416.71653593273,242024.08457096573,2310.665,0.04315089802078283
26999900,79416.72454500129,242024.0513193747,2310.712,0.025317977802344325
27000000,79416.71728259299,242024.02898248285,2310.723,0.034249087579087414
27000100,79416.72499308764,242024.01796646882,2310.723,0.016431676725154984
27000200,79416.74056336934,242023.98481665738,2310.745,0.06687301398920195
27000300,79416.74071267764,242023.97369891312,2310.763,0.0433358973600409
27000400,79416.7410113879,242023.95146361366,2310.774,0.046861498055439925
27000500,79416.74086188374,242023.96258096118,2310.808,0.05303772242470447
27000600,79416.71832773778,242023.95115824416,2310.852,0.06307931515164064
27000700,79416.71847695507,242023.9400403155,2310.894,0.05783597496368501
27000800,79416.71106518975,242023.92882107198,2310.9,0.058634460857076194
27000900,79416.71121447517,242023.91770328023,2310.924,0.06417164482853778
27001000,79416.7192236045,242023.88445181213,2310.955,0.03407345007480164
27001100,79416.70410121212,242023.88424831536,2310.996,0.054589376255824724
27001200,79416.70425051647,242023.87313056365,2311.015,0.06959885056522126
27001300,79416.71982086255,242023.83998088446,2311.02,0.03566510900025401
27001400,79416.72011955785,242023.81774555426,2311.035,0.029189039038652848
27001500,79416.72041820384,242023.79551012442,2311.063,0.031256999216175564
27001600,79416.72842739403,242023.7622587774,2311.078,0.07513321502504734
27001700,79416.72101562042,242023.75103951525,2311.086,0.05756735185849701
27001800,79416.71345426778,242023.75093745347,2311.148,0.049527769988159165
27001900,79416.7061918892,242023.72860062215,2311.151,0.061619802012015584
27002000,79416.72176216035,242023.6954507921,2311.176,0.03293933818400121
27002100,79416.7066398662,242023.69524749368,2311.191,0.06064651680022522
27002200,79416.7220607539,242023.673215257,2311.218,0.05832666628567074
27002300,79416.72250886644,242023.6398624014,2311.222,0.04666904755831214
27002400,79416.73778045032,242023.62894791458,2311.23,0.054442630355264796
27002500,79416.71509701754,242023.62864298746,2311.25,0.03652396473549935
27002600,79416.73066724013,242023.59549305774,2311.288,0.04650806381693394
27002700,79416.7153956108,242023.60640745237,2311.292,0.04747630988187688
27002800,79416.7231060566,242023.59539133497,2311.305,0.060778285596090977
27002900,79416.73867638498,242023.5622416176,2311.315,0.037802116342871596
27003000,79416.73081653283,242023.58437528275,2311.31,0.1078424777163433
27003100,79416.74668556014,242023.52899023984,2311.334,0.02572936066053721
27003200,79416.74698418716,242023.50675477087,2311.367,0.03514256678161116
27003300,79416.73957234989,242023.49553538393,2311.392,0.04119465984809196
27003400,79416.74728282962,242023.48451933358,2311.396,0.02256102834535695
27003500,79416.7398709244,242023.4732998088,2311.439,0.054945427471264616
27003600,79416.74788008438,242023.44004840124,2311.462,0.03567912554982254
27003700,79416.75559048177,242023.42903218605,2311.488,0.04027406113120454
27003800,79416.74817873808,242023.4178129863,2311.488,0.03207802986469088
27003900,79416.75588917689,242023.40679685585,2311.503,0.018027756377319945
27004000,79416.75618786857,242023.3845615182,2311.519,0.018788294228055936
27004100,79416.7561878195,242023.38456141856,2311.532,0.021587033144922902
27004200,79416.74862665088,242023.38445972838,2311.545,0.07009992867328754
27004300,79416.73350424247,242023.38425620366,2311.59,0.11506954418958998
27004400,79416.74106527145,242023.38435761165,2311.614,0.10445094542415594
27004500,79416.7260923026,242023.37303660624,2311.642,0.11245443521711361
27004600,79416.72594290023,242023.38415416237,2311.649,0.15075145107095983
27004700,79416.71853106245,242023.3729347717,2311.674,0.12758526560696576
27004800,79416.7111192397,242023.3617154127,2311.695,0.12177848742696717
27004900,79416.71868039678,242023.36181708053,2311.685,0.09689685237405805
27005000,79416.71897906918,242023.33958170377,2311.706,0.09478923989567592
27005100,79416.71897903548,242023.33958163578,2311.715,0.09837682653958706
27005200,79416.71912834699,242023.32846389618,2311.732,0.07768526243760782
