Time,East,North,z,v
205284400,79413.33462978182,242023.62760304846,2324.376,0.0
205284500,79413.33448043493,242023.63872070145,2324.37,0.12633412260149718
205284600,79413.34204159543,242023.638822373,2324.359,0.1334808594169008
205284700,79413.3423402439,242023.6165869739,2324.383,0.327171576647749
205284800,79413.36547166026,242023.58353881072,2324.396,0.4237889121745905
205284900,79413.37303279468,242023.5836404292,2324.392,0.08554028192047648
205285000,79413.38785633892,242023.6060789097,2324.38,0.2944652672086734
205285100,79413.39541751822,242023.6061806176,2324.364,0.17696649410016735
205285200,79413.39571622742,242023.58394534048,2324.372,0.23630749939362464
205285300,79413.41098781241,242023.57303086016,2324.378,0.19705042767553194
205285400,79413.418698305,242023.562014848,2324.377,0.13482377521181801
205285500,79413.44123238273,242023.57343739737,2324.353,0.3484459349986698
205285600,79413.44123235287,242023.5734373387,2324.361,0.07999999999810825
205285700,79413.44894286063,242023.5624213554,2324.356,0.14344842475640535
205285800,79413.46481190564,242023.50703640468,2324.367,0.5864949267170613
205285900,79413.47192502502,242023.54049103707,2324.338,0.4483970593463119
205286000,79413.49460843169,242023.5407958962,2324.325,0.2614464757773079
205286100,79413.50973066966,242023.5409990698,2324.325,0.15122354090215534
205286200,79413.5177399024,242023.507747842,2324.324,0.3421402096122357
205286300,79413.53331019006,242023.47459806968,2324.34,0.3996390155184387
205286400,79413.54102063747,242023.46358196437,2324.351,0.17371658675967344
205286500,79413.55644161958,242023.44154992886,2324.35,0.2690906915589775
205286600,79413.57942367923,242023.419619401,2324.36,0.33300975199265437
205286700,79413.56415213122,242023.430533953,2324.344,0.24663508975512663
205286800,79413.57186267692,242023.4195180498,2324.329,0.20143844718834988
205286900,79413.58683551537,242023.43083877023,2324.337,0.20403153554774864
205287000,79413.5789757166,242023.4529725192,2324.321,0.28418019550979123
205287100,79413.60966824708,242023.42002593074,2324.336,0.47457036251311135
205287200,79413.61767744612,242023.38677463215,2324.344,0.3512263259504248
205287300,79413.6485193132,242023.34271036554,2324.368,0.5889305524663072
205287400,79413.65637908602,242023.32057656161,2324.391,0.32872234033116193
205287500,79413.67180005756,242023.29854450468,2324.393,0.2696475431743247
205287600,79413.69478211082,242023.27661396004,2324.405,0.3395519068483179
205287700,79413.7179134665,242023.24356566742,2324.435,0.502689811680763
205287800,79413.71791351541,242023.243565768,2324.422,0.12999999999919964
205287900,79413.73273711248,242023.2660043547,2324.396,0.3740451784861612
205288000,79413.74830744683,242023.2328546755,2324.4,0.36839019478524554
205288100,79413.77855191333,242023.23326099943,2324.403,0.3039313049098748
205288200,79413.77870131766,242023.222143461,2324.394,0.14303954732480217
205288300,79413.79382352305,242023.22234656755,2324.403,0.17597886159774626
205288400,79413.80138467613,242023.22244822327,2324.394,0.11754633057128161
205288500,79413.82406801631,242023.22275294736,2324.399,0.23228056245736226
205288600,79413.82421743553,242023.2116354378,2324.386,0.17105646339888528
205288700,79413.8314797691,242023.2339721499,2324.398,0.2637392488242082
205288800,79413.83919032669,242023.22295626625,2324.38,0.2246718761432085
205288900,79413.84645264136,242023.24529294018,2324.397,0.28992823042496846
205289000,79413.86172428138,242023.23437856697,2324.389,0.2040315356014361
205289100,79413.86958415674,242023.21224497166,2324.385,0.2382401963707176
205289200,79413.87669727416,242023.24569960218,2324.356,0.4483970779307855
205289300,79413.8688374476,242023.267833299,2324.347,0.2515121783418254
205289400,79413.86853877823,242023.29006865993,2324.328,0.2924743416989763
205289500,79413.86824013556,242023.31230407488,2324.302,0.3421129084326925
205289600,79413.87550262336,242023.33464109804,2324.273,0.37317338788569404
205289700,79413.86749341144,242023.36789237428,2324.268,0.3456297620960122
205289800,79413.8823170524,242023.39033105318,2324.23,0.46552099031219074
205289900,79413.88216766698,242023.4014486326,2324.234,0.11815376132781683
205290000,79413.89743920788,242023.390534061,2324.252,0.2600555153141431
205290100,79413.88987813752,242023.39043257013,2324.239,0.15038995988313747
205290200,79413.90514973168,242023.37951810937,2324.243,0.19190849039919466
205290300,79413.90544836714,242023.35728267953,2324.271,0.3575489322888076
205290400,79413.92872913563,242023.31311686337,2324.29,0.5341527946846534
205290500,79413.9367382919,242023.2798654763,2324.31,0.39618168848022955
205290600,79413.94429939588,242023.27996703237,2324.314,0.08554028191834961
205290700,79413.94429950193,242023.2799672475,2324.286,0.27999999999792635
205290800,79413.96743087786,242023.24691899586,2324.311,0.47454930846044174
205290900,79413.97499206522,242023.2470207205,2324.293,0.19523611406980598
205291000,79413.98285187322,242023.22488698456,2324.307,0.2734197845692723
205291100,79414.01384314112,242023.16970516555,2324.324,0.6552724460323842
205291200,79414.02155351844,242023.1586889159,2324.354,0.3287513527465424
205291300,79414.02185220332,242023.1364535857,2324.369,0.2682186284887186
205291400,79414.0449835575,242023.10340528842,2324.4,0.5087210020579321
205291500,79414.04468495537,242023.12564078625,2324.363,0.4316726080397194
205291600,79414.05995653191,242023.11472628545,2324.372,0.20815587878661512
205291700,79414.0446849178,242023.12564070988,2324.373,0.18795975599431533
205291800,79414.05239538968,242023.11462465022,2324.378,0.1434484226997459
205291900,79414.05224604516,242023.12574231345,2324.371,0.13137849800499793
205292000,79414.05194734898,242023.1479776213,2324.359,0.25266824515830805
205292100,79414.05965784274,242023.1369616082,2324.358,0.13482376644460886
205292200,79414.05194734898,242023.1479776213,2324.359,0.13482376644460886
205292300,79414.0517980724,242023.15909541864,2324.334,0.27360611865697376
205292400,79414.05920980942,242023.17031459138,2324.337,0.13775867280974854
205292500,79414.05920982848,242023.17031463142,2324.332,0.050000000001091394
205292600,79414.05906057097,242023.18143246416,2324.302,0.3199379730419679
205292700,79414.07433217744,242023.1705180267,2324.303,0.18795974655466285
