Time,East,North,z,v
3998025162,79412.33254104925,241996.33788109105,2303.848,0.05814636704042652
3998126064,79412.33224239583,241996.36011646595,2303.827,0.0401621712560464
3998226380,79412.33980362157,241996.3602181943,2303.808,0.07923383115816122
3998327338,79412.33283995916,241996.3156462349,2303.801,0.1547029411485121
3998425324,79412.30259523724,241996.31523968093,2303.829,0.04924428900898052
3998526144,79412.27991168111,241996.3149347352,2303.854,0.019209372712298545
3998623287,79412.28006092264,241996.30381687637,2303.887,0.07606576102294645
3998727812,79412.2576760607,241996.28127663862,2303.922,0.05351635264103861
3998825991,79412.23484337589,241996.29208977986,2303.884,0.03982461550347975
3998926169,79412.18221388974,241996.2691431921,2303.921,0.04290687590584987
3999025164,79412.15226770764,241996.246501036,2304.0,0.03146426544510455
3999127857,79412.12202311336,241996.24609474186,2303.994,0.06508456038109192
3999225080,79412.09207723213,241996.22345319297,2303.993,0.070774289116882
3999327881,79412.09192777211,241996.2345706122,2304.018,0.0785175139698144
3999426914,79412.07725347845,241996.2010144526,2304.04,0.04142463035441596
3999525933,79412.0775522025,241996.178779223,2304.042,0.06521502894272148
3999624931,79412.0622805734,241996.18969375174,2304.03,0.03397057550292606
3999727223,79412.03989578974,241996.1671536751,2304.044,0.02814249455894058
3999824479,79412.01721228186,241996.16684882995,2304.056,0.03997499218261337
3999925395,79411.99408073752,241996.1998969298,2304.052,0.15833192981834082
4000026338,79412.0010443872,241996.24446886033,2304.063,0.2536197941801862
4000127439,79411.99378207416,241996.2221322814,2304.034,0.11822436297142819
4000226518,79411.98681840482,241996.17756031454,2304.028,0.09013878188659974
4000327446,79411.98681865391,241996.17756081838,2303.962,0.13382824813917277
4000425915,79412.00134374874,241996.22223491874,2303.896,0.10293687385966216
4000526991,79411.97895891944,241996.19969475362,2303.922,0.058395205282625734
4000626081,79411.94871408354,241996.1992879724,2303.98,0.0800312438988674
4000726998,79411.9033468457,241996.1986778332,2304.063,0.11968709203585823
4000826077,79411.88066339456,241996.1983731035,2304.06,0.10078690391117291
4000927078,79411.88792611955,241996.22071051225,2303.98,0.12986531484580477
4001024297,79411.8805147084,241996.20949208364,2303.88,0.08012490249604053
4001126966,79411.84255970457,241996.22010203637,2303.845,0.041303752856126766
4001223521,79411.81942838349,241996.25315058604,2303.782,0.10356157588603991
4001326401,79411.80445549717,241996.24182992522,2303.767,0.034899856733230296
4001425397,79411.81231547246,241996.21969647706,2303.743,0.09278469701410895
4001526295,79411.84937469171,241996.27579299174,2303.67,0.13905754204644924
4001625389,79411.81171842274,241996.26416774,2303.634,0.07397972695272673
4001728427,79411.78147381,241996.26376140863,2303.633,0.050219518117958876
4001825665,79411.74366779801,241996.2632530015,2303.697,0.05885575587824864
4001927808,79411.68317846334,241996.26244012173,2303.724,0.09478923989567592
4002028722,79411.6754681707,241996.27345660143,2303.664,0.0762954782408499
4002126221,79411.68302946781,241996.27355847508,2303.626,0.04446346815083142
4002228891,79411.690590747,241996.2736603124,2303.593,0.045967379738244815
4002326045,79411.69029240917,241996.29589631967,2303.489,0.0670820393249937
4002426870,79411.67517037653,241996.29569370858,2303.416,0.122155638429014
4002524437,79411.65248725405,241996.29538964387,2303.326,0.15074813431681336
4002628948,79411.70526622004,241996.3072188506,2303.259,0.08449260322655469
4002727353,79411.70541568738,241996.29610145185,2303.232,0.0980357077803797
4002828231,79411.68969606215,241996.34036900103,2303.194,0.08773824707617539
4002927565,79411.65189018658,241996.33986086678,2303.222,0.12578155667664476
4003028359,79411.6447771236,241996.30640645232,2303.223,0.080876448982383
4003127314,79411.6597501499,241996.3177273972,2303.201,0.08075270893288967
4003228130,79411.63706667267,241996.3174226135,2303.205,0.05141984052872976
4003325705,79411.61468186115,241996.29488248657,2303.226,0.052182372502598995
4003429161,79411.57687586812,241996.2943741139,2303.285,0.047360320944858474
4003527750,79411.57687596635,241996.29437431227,2303.259,0.042
4003626318,79411.58413865112,241996.31671163905,2303.19,0.056665686266028754
4003726219,79411.57672719433,241996.3054931201,2303.102,0.07140028011149537
4003826604,79411.56160461437,241996.30528940167,2303.174,0.0650615093584525
4003926988,79411.53892105799,241996.30498445872,2303.199,0.04928488612140643
4004027427,79411.52379873073,241996.30478125438,2303.204,0.043783558557979274
4004126487,79411.51638699444,241996.29356216826,2303.19,0.04374928570845472
4004226257,79411.51608834037,241996.31579753477,2303.17,0.09002221947941519
4004326979,79411.49340467827,241996.31549238134,2303.223,0.10852188719332152
4004425513,79411.47828229477,241996.31528905965,2303.243,0.09608850087289321
4004528313,79411.4560467907,241996.28163120896,2303.279,0.021283796653792764
4004626863,79411.44818704705,241996.3037651237,2303.242,0.0651536645170477
4004727249,79411.43291553714,241996.31467989273,2303.199,0.08153526844255803
4004825786,79411.4406261499,241996.3036640603,2303.174,0.07828793010419934
