Time,East,North,z,v
4027464319,79410.33155298397,241992.16324863117,2321.428,0.05286775955154521
4027565462,79410.30901894724,241992.1518264357,2321.407,0.0696419413859206
4027664460,79410.30886952837,241992.16294392943,2321.422,0.0712320152740325
4027766505,79410.30901886061,241992.15182625968,2321.43,0.034190641994557514
4027865510,79410.30886960762,241992.16294408962,2321.401,0.053851648071345036
4027964910,79410.33170246314,241992.15213125944,2321.397,0.0952102935611481
4028063883,79410.30931766063,241992.1295912005,2321.41,0.0574978260458602
4028164707,79410.3091683737,241992.14070895873,2321.39,0.04901020301937139
4028265539,79410.30916836258,241992.14070893545,2321.393,0.08631917515824626
4028364994,79410.30916826436,241992.140708738,2321.419,0.085871997764114
4028463982,79410.30190582224,241992.1183719281,2321.421,0.06466065264130885
4028564195,79410.2943447343,241992.1182704866,2321.402,0.054460995216760406
4028665024,79410.29434482114,241992.11827066354,2321.379,0.05133225107084239
4028764486,79410.29434487759,241992.1182707753,2321.364,0.06688796603276258
4028865317,79410.29449422861,241992.1071531484,2321.367,0.07323933369440222
4028966173,79410.30190622962,241992.11837274954,2321.313,0.09487887014504336
4029065168,79410.29449433056,241992.1071533542,2321.34,0.08328865468957942
4029166540,79410.29464368522,241992.09603573103,2321.342,0.07624303246854758
4029264954,79410.27225870537,241992.07349531073,2321.402,0.044328320518603
4029365769,79410.24957531785,241992.07319074776,2321.378,0.08560957890329796
4029464770,79410.24231288214,241992.05085395183,2321.378,0.079435508432942
4029566141,79410.23475163186,241992.05075218529,2321.402,0.07816648898345122
4029665159,79410.23475168498,241992.05075229332,2321.388,0.05236410984634419
4029765983,79410.21992820756,241992.02831414994,2321.357,0.08218272324521742
4029863159,79410.25002345696,241992.0398380328,2321.364,0.07431016081263718
4029966438,79410.242761014,241992.01750122104,2321.366,0.052933921071464184
4030064840,79410.23534922043,241992.006282039,2321.365,0.045287967496897015
4030165700,79410.22778808342,241992.00618050154,2321.359,0.04716990566028302
4030264717,79410.22022688984,241992.0060788514,2321.368,0.044113490000225554
4030366178,79410.22793745712,241991.99506291933,2321.356,0.04518849411078001
4030465182,79410.22793744566,241991.99506289605,2321.359,0.04224926034855521
4030566003,79410.22052568234,241991.98384377453,2321.35,0.05099019513592785
4030665015,79410.24320917584,241991.98414854985,2321.346,0.08033679107357973
4030767778,79410.24305987789,241991.99526629038,2321.329,0.06037383539249432
4030863104,79410.23564811064,241991.98404715955,2321.321,0.06271363488110061
4030965781,79410.2282363287,241991.97282800172,2321.317,0.04514421336118285
4031064840,79410.1908783416,241991.93896671198,2321.39,0.055524769247606964
4031164801,79410.17605451228,241991.91652785894,2321.452,0.03629049462324811
4031263783,79410.17590536515,241991.9276459003,2321.395,0.056338264084013094
4031364604,79410.16123101117,241991.89408967085,2321.427,0.09048204241726641
4031463604,79410.19147570705,241991.89449611586,2321.412,0.04661544808322666
4031566603,79410.19147575213,241991.89449620526,2321.4,0.047106262853255504
4031665552,79410.19903685487,241991.8945976738,2321.415,0.03661966684720111
4031766314,79410.20674724106,241991.88358137384,2321.451,0.06652818951391959
4031865263,79410.21460707972,241991.86144764815,2321.463,0.03861346915261565
4031966102,79410.22987867803,241991.85053303838,2321.485,0.048093658625644194
4032065538,79410.23729055132,241991.86175238155,2321.465,0.029274562336608894
4032165926,79410.22987862163,241991.85053292383,2321.5,0.035071355833500364
4032265763,79410.2224668767,241991.83931384236,2321.486,0.05177837386399847
4032366164,79410.23002793083,241991.83941521123,2321.514,0.020615528128088305
4032463852,79410.24485166193,241991.8618538631,2321.478,0.022737634001804147
4032566417,79410.26738567655,241991.87327601016,2321.505,0.14882204137828509
4032664957,79410.28250806443,241991.8734793123,2321.487,0.09070832376358853
4032765332,79410.28250813216,241991.87347945105,2321.469,0.022715633383201095
4032864092,79410.26753502779,241991.86215838138,2321.508,0.02913760456866693
4032966308,79410.29006922395,241991.87358089536,2321.487,0.034322004603461034
4033064220,79410.32016468533,241991.88510520663,2321.438,0.08742425292789181
4033164997,79410.2976304513,241991.87368261442,2321.469,0.049749371855331
4033263810,79410.29763044769,241991.87368260697,2321.47,0.06224949798994366
4033366021,79410.3201645872,241991.88510500826,2321.464,0.047434164902525694
4033464564,79410.32001544391,241991.896223058,2321.406,0.05942221806698232
4033566770,79410.32001533436,241991.89622283727,2321.435,0.06435837163881634
4033663821,79410.32787517739,241991.87408911902,2321.446,0.03023243291566195
4033765748,79410.32802453186,241991.86297149677,2321.448,0.043703546766824315
4033864292,79410.35782124984,241991.89673098363,2321.404,0.07220803279414278
4033966518,79410.35040938076,241991.8855116507,2321.423,0.0408656334834051
4034063586,79410.36568112305,241991.87459732872,2321.407,0.04071854614300466
4034165804,79410.3806541364,241991.88591821585,2321.392,0.06483826030978931
4034264341,79410.37339163343,241991.86358128116,2321.41,0.013638181696985855
4034365075,79410.38095286128,241991.86368300114,2321.392,0.02379075450674064
4034465857,79410.3659799799,241991.85236238316,2321.372,0.07262231062146123
4034565646,79410.37369044899,241991.84134625085,2321.386,0.026115129714401192
4034666030,79410.37369044151,241991.84134623595,2321.388,0.055803225713214825
4034766406,79410.38896209345,241991.8304317305,2321.396,0.04006245124802026
4034865385,79410.39652322303,241991.83053325117,2321.404,0.03996248240537617
4034966165,79410.3891113803,241991.81931397133,2321.416,0.03773592452822641
4035064728,79410.40408450708,241991.83063508477,2321.371,0.03706750598570127
4035166942,79410.41149637231,241991.84185441583,2321.353,0.039319206502675
4035265306,79410.41179507843,241991.81961916294,2321.358,0.051701063818842256
4035367528,79410.3966726385,241991.81941575278,2321.39,0.06944062211702888
4035464233,79410.42676795983,241991.83093978,2321.378,0.029171904291629643
4035566793,79410.45686333466,241991.8424639171,2321.352,0.06853466276272176
4035665833,79410.44189023024,241991.83114284463,2321.391,0.023874672772626643
4035768052,79410.44930204653,241991.84236207418,2321.386,0.0438520238985614
4035864797,79410.46442441514,241991.84256534,2321.373,0.025632011235952594
4035965177,79410.47198545781,241991.84266668372,2321.404,0.03786819245752298
4036067333,79410.4796959687,241991.83165063523,2321.407,0.035902646142032486
4036168092,79410.48725701513,241991.83175199013,2321.437,0.028195744359743372
4036264806,79410.48725707589,241991.8317521112,2321.421,0.022869193252058544
4036367017,79410.50267795459,241991.80971972737,2321.465,0.03830143600441111
4036466137,79410.51008988755,241991.82093919255,2321.429,0.01104536101718726
4036568368,79410.52506290853,241991.83226009365,2321.412,0.04495553358597805
4036665062,79410.51750166592,241991.832158342,2321.434,0.03402939905434711
4036767045,79410.52506284426,241991.83225996327,2321.429,0.02147091055358389
4036866253,79410.53277325364,241991.82124371082,2321.459,0.020904544960366873
4036966645,79410.54003579373,241991.8435807228,2321.431,0.0400374824383352
4037065193,79410.54018514877,241991.8324630987,2321.433,0.035369478367654784
4037165565,79410.54759691554,241991.8436822286,2321.441,0.06341135544995076
4037264860,79410.54774623325,241991.83256452903,2321.453,0.02435159132377184
4037365583,79410.55530746438,241991.83266625553,2321.434,0.01857417562100671
4037464111,79410.57028045863,241991.84398710635,2321.424,0.031320919526731654
4037565698,79410.54774624448,241991.83256455138,2321.45,0.05514526271584895
4037665252,79410.55530747949,241991.8326662844,2321.43,0.04195235392680606
4037765628,79410.55530748336,241991.83266629465,2321.429,0.052392747589718944
4037866021,79410.56301795307,241991.82165016234,2321.443,0.02368543856465402
4037964964,79410.5628686204,241991.83276783023,2321.435,0.04487761134463376
4038064520,79410.56301791877,241991.82165009342,2321.452,0.03645545226711637
4038164905,79410.57072842623,241991.81063403748,2321.456,0.052848841046895245
4038264652,79410.59326257698,241991.82205646485,2321.447,0.043703546766824315
4038365019,79410.57814023134,241991.8218532456,2321.454,0.04988987873306569
4038465412,79410.58585070467,241991.81083711982,2321.467,0.023937418407171646
4038566280,79410.58570133433,241991.8219547132,2321.469,0.05241183072551463
4038664822,79410.60823546576,241991.83337709866,2321.465,0.07692203845452876
4038767030,79410.62320855085,241991.84469813108,2321.431,0.03484250278036869
4038865582,79410.62320852818,241991.84469808545,2321.437,0.031638584039112745
4038966098,79410.63076963485,241991.84479956143,2321.451,0.059236812878479546
4039065860,79410.63076959344,241991.8447994776,2321.462,0.043428101501216926
4039166599,79410.6533037435,241991.85622190032,2321.453,0.06123724356957945
4039265134,79410.66086489943,241991.85632347595,2321.454,0.06972087205421343
4039367510,79410.65330367933,241991.85622177087,2321.47,0.030430248109405877
4039466099,79410.65330370232,241991.85622181557,2321.464,0.027147743920996455
4039566461,79410.63833069659,241991.84490094613,2321.477,0.04802082881417188
4039664991,79410.638330674,241991.84490089864,2321.483,0.05003998401278722
4039767163,79410.64604118533,241991.83388485014,2321.486,0.019519221295943134
4039865716,79410.63848009337,241991.83378340583,2321.468,0.03786819245752298
4039966127,79410.65345305014,241991.8451041784,2321.468,0.02357965224510319
4040064651,79410.65345305014,241991.8451041784,2321.468,0.03130495168499706
4040165274,79410.66086483543,241991.85632334556,2321.471,0.04053393639902248
4040263833,79410.67583787111,241991.86764427833,2321.45,0.06328506932918695
4040366429,79410.66086482407,241991.8563233232,2321.474,0.02692582403567252
4040464969,79410.68354828413,241991.8566280324,2321.479,0.043174066289845804
4040566869,79410.68369764346,241991.84551041946,2321.48,0.05188448708429139
4040665418,79410.66842601771,241991.85642497428,2321.465,0.04261455150532503
4040767639,79410.67613643495,241991.84540873673,2321.493,0.02437211521390788
4040866181,79410.68384693861,241991.8343926724,2321.498,0.023853720883753125
4040967277,79410.69110943293,241991.85672959406,2321.482,0.032015621187164243
4041065826,79410.66842585187,241991.856424639,2321.509,0.0792842985716592
4041166200,79410.68369749248,241991.84551011305,2321.52,0.0349428104193123
4041264159,79410.67628567723,241991.8342908863,2321.525,0.05872818744010409
4041366766,79410.66857522605,241991.84530705586,2321.506,0.0708660708661063
4041465321,79410.6836974358,241991.84551000036,2321.535,0.009433981132056603
4041566073,79410.6988197745,241991.84571320284,2321.53,0.050447993022517755
4041664607,79410.69125866005,241991.8456117129,2321.518,0.03420526275297414
4041767234,79410.69125858818,241991.84561156854,2321.537,0.03964845520319802
4041865775,79410.71364330762,241991.8681514617,2321.546,0.05989156868875618
4041967995,79410.72120455361,241991.86825321894,2321.523,0.029832867780352598
4042065951,79410.72120448593,241991.86825308297,2321.541,0.019026297590440448
4042167145,79410.751150455,241991.8908947436,2321.526,0.058549124673217795
4042265678,79410.74358918234,241991.89079293143,2321.556,0.03871692136521188
4042367892,79410.75871150159,241991.89099609666,2321.556,0.050537115073973106
4042466451,79410.77383372681,241991.89119907375,2321.581,0.047339201514178496
4042567308,79410.78124557606,241991.9024183713,2321.567,0.023
4042665833,79410.77383368874,241991.89119899645,2321.591,0.02220360331117452
4042767796,79410.77383367014,241991.89119895827,2321.596,0.018627936010197157
4042866365,79410.79636780839,241991.9026213605,2321.59,0.049729267036625426
4042969126,79410.80377960869,241991.91384055652,2321.589,0.059245252974394494
4043067724,79410.7962184602,241991.91373899765,2321.586,0.019824227601599007
4043168098,79410.80377960131,241991.91384054255,2321.591,0.02551470164434615
4043266641,79410.82616442534,241991.93638064992,2321.572,0.1055035544424926
4043367948,79410.8187525686,241991.9251613384,2321.588,0.060016664352494635
4043466496,79410.82631366755,241991.92526279856,2321.604,0.0836301381082203
4043568083,79410.81860325822,241991.93627905194,2321.574,0.034684290392049254
4043666615,79410.83372559992,241991.93648226373,2321.568,0.04468780594300866
4043767630,79410.84113732845,241991.94770131726,2321.586,0.07004284403134985
4043866161,79410.82616435368,241991.93638050556,2321.591,0.019519221295943134
4043968786,79410.81860317876,241991.93627889082,2321.595,0.04295346318982906
4044065508,79410.84098798421,241991.9588189628,2321.581,0.060597029630172466
4044166621,79410.84128650316,241991.93658332992,2321.636,0.05838664230798
4044266369,79410.83372536229,241991.9364817841,2321.631,0.013000000000000001
4044366749,79410.84128652941,241991.93658338208,2321.629,0.04168932717135166
4044467143,79410.81845366448,241991.94739619363,2321.635,0.06882586723027906
4044567003,79410.81860295996,241991.9362784475,2321.653,0.013341664064126334
4044665535,79410.81119110694,241991.92505914345,2321.668,0.04601086828130937
4044765910,79410.81119105042,241991.9250590289,2321.683,0.011874342087037916
4044866322,79410.78865684023,241991.91363648325,2321.708,0.07059745037889116
4044967709,79410.79606876113,241991.92485592514,2321.675,0.03953479480154159
4045066121,79410.79606872717,241991.92485585716,2321.684,0.03713488925525428
4045167352,79410.78865679882,241991.9136363985,2321.719,0.019026297590440448
4045266368,79410.78109563894,241991.91353481635,2321.719,0.04045985664828782
4045367221,79410.81119085794,241991.92505864054,2321.734,0.07624959016283302
4045465548,79410.79621789396,241991.91373785213,2321.736,0.03966106403010388
4045568230,79410.78094626078,241991.92465239204,2321.723,0.06140032573203501
4045667247,79410.7959192167,241991.93597316556,2321.723,0.0214009345590327
4045769730,79410.79591921293,241991.93597315904,2321.724,0.005744562646538029
4045867013,79410.79576987219,241991.94709081203,2321.718,0.019339079605813717
4045967854,79410.79562053551,241991.9582084734,2321.711,0.041412558481697316
4046066861,79410.79562056574,241991.95820853394,2321.703,0.027331300737432895
4046165869,79410.79576986493,241991.9470907962,2321.72,0.04747630988187688
4046268705,79410.80303241884,241991.96942783706,2321.688,0.022158519806160338
4046368090,79410.80318168411,241991.9583100332,2321.714,0.033674916480965475
4046467120,79410.7956205318,241991.9582084641,2321.712,0.05231634543811332
4046569190,79410.82556647414,241991.98085007165,2321.704,0.059648973168026954
4046668367,79410.81815463626,241991.9696308002,2321.715,0.01994993734326
4046767371,79410.83312758827,241991.9809515644,2321.716,0.027495454169735038
4046866363,79410.84053946774,241991.99217092246,2321.694,0.04730750469005948
4046967563,79410.8403901119,241992.00328854565,2321.692,0.012529964086141668
4047066865,79410.8328288728,241992.00318680145,2321.713,0.02930870177950569
4047167716,79410.83267956636,241992.01430452336,2321.698,0.04517742799230607
4047266729,79410.8552136853,241992.02572688833,2321.697,0.05787054518492114
4047365107,79410.8552136365,241992.02572678868,2321.71,0.03440930106817051
4047466244,79410.85536293524,241992.01460904907,2321.727,0.021447610589527214
4047565586,79410.855064318,241992.0368444873,2321.698,0.03263433774416144
4047666437,79410.84735381042,241992.04786054138,2321.694,0.057740800133008204
4047765429,79410.85491487963,241992.04796194192,2321.718,0.03330165161069343
4047866624,79410.86988798232,241992.0592830144,2321.679,0.032710854467592254
4047965627,79410.8623267702,241992.0591813242,2321.693,0.025729360660537215
4048064042,79410.847204432,241992.05897811893,2321.698,0.08228000972289684
4048165269,79410.87700100275,241992.09273731802,2321.692,0.04387482193696061
4048266475,79410.89938591998,241992.11527761724,2321.648,0.032588341473600645
4048365467,79410.89938585946,241992.1152774943,2321.664,0.013564659966250536
4048466358,79410.89167537073,241992.12629358843,2321.655,0.02660826939130014
4048567221,79410.89923647356,241992.12639505696,2321.67,0.03997499218261337
4048666611,79410.89893791657,241992.14863061532,2321.625,0.05734980383575867
4048765976,79410.91406018607,241992.14883368183,2321.638,0.019026297590440448
4048866194,79410.91391081523,241992.15995127521,2321.64,0.01673320053068151
4048967032,79410.92132269796,241992.17117064074,2321.617,0.018248287590894658
4049066442,79410.91376151952,241992.17106902134,2321.622,0.020149441679609883
4049165424,79410.90620036787,241992.17096745223,2321.62,0.014317821063276354
4049264405,79410.90620036787,241992.17096745223,2321.62,0.010770329614269008
4049363796,79410.91376151217,241992.17106900644,2321.624,0.016031219541881397
4049466971,79410.90605098172,241992.18208501302,2321.626,0.0634744042902334
4049567202,79410.90590167888,241992.19320274424,2321.61,0.03471310991541956
4049666211,79410.91331348957,241992.20442196447,2321.606,0.03661966684720111
4049767048,79410.91331347833,241992.2044219412,2321.609,0.057070132293521106
4049866575,79410.91316413398,241992.2155395858,2321.604,0.052478567053607705
4049967768,79410.90560296313,241992.21543798037,2321.607,0.030215889859476253
4050066797,79410.92072532709,241992.21564123593,2321.595,0.06417164482853778
4050167614,79410.89804181534,241992.21533642057,2321.604,0.04223742416388575
4050267294,79410.89804170567,241992.21533619892,2321.633,0.03159113799786263
4050367499,79410.8978924066,241992.22645393852,2321.616,0.03252691193458119
4050466489,79410.88291944755,241992.21513315383,2321.617,0.059312730505347674
4050567610,79410.89048049737,241992.21523451526,2321.646,0.012884098726725125
4050665641,79410.86779707979,241992.21492988802,2321.63,0.07478636239315294
4050768301,79410.89018184604,241992.23746988364,2321.626,0.04522167621838006
4050867304,79410.88262076228,241992.23736845516,2321.606,0.04112177038990418
4050969971,79410.86749836095,241992.23716512136,2321.628,0.0719027120489902
4051066566,79410.89018182729,241992.2374698473,2321.631,0.053
4051167100,79410.88988323626,241992.2597053349,2321.595,0.05315072906367325
4051266102,79410.89003252416,241992.24858757574,2321.615,0.03361547262794322
4051366923,79410.88232196012,241992.25960351527,2321.626,0.05916924876994806
4051465932,79410.91241732042,241992.2711276319,2321.603,0.06084406298070503
4051566869,79410.89729492244,241992.27092430368,2321.624,0.044821869662029945
4051665866,79410.9199783587,241992.2712289691,2321.635,0.032031234756093936
4051767049,79410.9349513701,241992.28254985716,2321.62,0.030331501776206204
4051865435,79410.93495127578,241992.28254966624,2321.645,0.020024984394500785
4051966454,79410.94977488235,241992.3049880797,2321.641,0.025495097567963924
4052065511,79410.9798701399,241992.31651198678,2321.645,0.0582494635168428
4052168175,79410.98743124257,241992.31661345717,2321.66,0.06931810730249348
4052265346,79410.97942207183,241992.3498648554,2321.639,0.09489994731294639
4052366803,79410.98698321242,241992.3499664003,2321.644,0.007615773105863909
4052465785,79411.0095173032,241992.36138871126,2321.65,0.050517323761260356
4052567845,79411.01692909119,241992.37260788865,2321.652,0.06296824596572466
4052666847,79411.01692902697,241992.37260775734,2321.669,0.02193171219946131
4052768017,79411.02404218193,241992.40606234036,2321.646,0.036000000000000004
4052865198,79411.03160332973,241992.4061639011,2321.649,0.01805547008526779
4052968275,79411.0465762576,241992.41748461872,2321.656,0.01982422760159901
