#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
1421986370,545011000,2023:2:4:7:23:13,3,11.3832046,47.3122821,2330045,-70,5,115,70,33142064,0.00016,11,923604743,13.85,10.37,0,-1,0,2023:2:4:7:23:13:0,2023-02-04 07:23:13.000,2330.045,0.1347219358530748
1422085375,545011100,2023:2:4:7:23:13,3,11.3832045,47.3122821,2329992,-23,-56,119,61,33142064,0.00016,11,923604743,13.85,10.37,0,-1,0,2023:2:4:7:23:13:100,2023-02-04 07:23:13.100,2329.992,0.13351404420509477
1422184092,545011200,2023:2:4:7:23:13,3,11.3832042,47.312282,2329959,-46,-107,122,116,33142064,0.00017999999999999998,10,923604743,13.83,10.55,0,-1,0,2023:2:4:7:23:13:200,2023-02-04 07:23:13.200,2329.959,0.16866831356244716
1422283539,545011300,2023:2:4:7:23:13,3,11.3832043,47.312282,2329970,-30,-31,114,44,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:300,2023-02-04 07:23:13.300,2329.97,0.12188929403356145
1422384379,545011400,2023:2:4:7:23:13,3,11.3832047,47.3122818,2330027,-93,120,91,152,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:400,2023-02-04 07:23:13.400,2330.027,0.17700282483621552
1422485213,545011500,2023:2:4:7:23:13,3,11.3832047,47.3122818,2330038,-139,34,88,143,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:500,2023-02-04 07:23:13.500,2330.038,0.16799107119129875
1422584542,545011600,2023:2:4:7:23:13,3,11.383205,47.3122817,2330087,-107,102,64,148,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:600,2023-02-04 07:23:13.600,2330.087,0.16108693305169106
1422683541,545011700,2023:2:4:7:23:13,3,11.383205,47.3122821,2330101,49,106,58,117,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:700,2023-02-04 07:23:13.700,2330.101,0.1303878828726044
1422782526,545011800,2023:2:4:7:23:13,3,11.3832046,47.3122823,2330159,34,-48,45,58,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:800,2023-02-04 07:23:13.800,2330.159,0.0740607858451421
1422883736,545011900,2023:2:4:7:23:13,3,11.3832046,47.3122822,2330174,-40,-3,46,40,33142064,0.00017999999999999998,10,923604743,13.83,10.55,1,-1,0,2023:2:4:7:23:13:900,2023-02-04 07:23:13.900,2330.174,0.06103277807866851
1422984297,545012000,2023:2:4:7:23:14,3,11.3832049,47.3122821,2330239,-72,63,23,96,33142064,0.00017999999999999998,10,923670279,13.77,7.61,1,-1,0,2023:2:4:7:23:14:0,2023-02-04 07:23:14.000,2330.239,0.09839715443040006
1423083281,545012100,2023:2:4:7:23:14,3,11.3832048,47.3122821,2330223,-12,44,23,46,33142064,0.00017999999999999998,10,923670279,13.77,7.61,1,-1,0,2023:2:4:7:23:14:100,2023-02-04 07:23:14.100,2330.223,0.051078371156488535
1423184149,545012200,2023:2:4:7:23:14,3,11.3832046,47.3122819,2330095,-35,-13,56,38,33142064,0.00017999999999999998,10,923670279,13.77,7.61,1,-1,0,2023:2:4:7:23:14:200,2023-02-04 07:23:14.200,2330.095,0.06730527468185536
1423283139,545012300,2023:2:4:7:23:14,3,11.3832046,47.3122816,2330046,-88,-8,70,88,33142064,0.00017999999999999998,10,923670279,13.77,7.61,0,-1,0,2023:2:4:7:23:14:300,2023-02-04 07:23:14.300,2330.046,0.11272976536833562
1423386138,545012400,2023:2:4:7:23:14,3,11.3832045,47.3122822,2330058,112,9,67,112,33142064,0.00017999999999999998,10,923670279,13.77,7.61,0,-1,0,2023:2:4:7:23:14:400,2023-02-04 07:23:14.400,2330.058,0.13082048769210425
1423483659,545012500,2023:2:4:7:23:14,3,11.3832044,47.3122825,2330191,68,-43,36,81,33142064,0.00017999999999999998,10,923670279,13.77,7.61,0,-1,0,2023:2:4:7:23:14:500,2023-02-04 07:23:14.500,2330.191,0.08814193099768124
1423586322,545012600,2023:2:4:7:23:14,3,11.3832042,47.3122827,2330257,73,-80,18,109,33142064,0.00017999999999999998,10,923670279,13.77,7.61,0,-1,0,2023:2:4:7:23:14:600,2023-02-04 07:23:14.600,2330.257,0.10978615577567145
1423682867,545012700,2023:2:4:7:23:14,3,11.3832044,47.3122829,2330306,29,44,10,53,33142064,0.00017999999999999998,10,923670279,13.81,10.31,0,-1,0,2023:2:4:7:23:14:700,2023-02-04 07:23:14.700,2330.306,0.05363767332761554
1423787747,545012800,2023:2:4:7:23:14,3,11.3832045,47.3122831,2330344,20,43,0,48,33142064,0.00017999999999999998,10,923670279,13.81,10.31,0,-1,0,2023:2:4:7:23:14:800,2023-02-04 07:23:14.800,2330.344,0.0474236228055175
1423884897,545012900,2023:2:4:7:23:14,3,11.3832044,47.3122832,2330331,38,-10,1,40,33142064,0.00017999999999999998,10,923670279,13.81,10.31,0,-1,0,2023:2:4:7:23:14:900,2023-02-04 07:23:14.900,2330.331,0.03930648801406709
1423987564,545013000,2023:2:4:7:23:15,3,11.3832044,47.3122831,2330337,-33,12,-1,36,33142064,0.00017999999999999998,10,923735815,13.81,10.31,0,-1,0,2023:2:4:7:23:15:0,2023-02-04 07:23:15.000,2330.337,0.03512833614050059
1424083301,545013100,2023:2:4:7:23:15,3,11.3832044,47.3122836,2330350,97,-10,-11,97,33142064,0.00017999999999999998,10,923735815,13.81,10.31,0,-1,0,2023:2:4:7:23:15:100,2023-02-04 07:23:15.100,2330.35,0.09813256340277675
1424186386,545013200,2023:2:4:7:23:15,3,11.3832044,47.3122836,2330355,51,29,-14,58,33142064,0.00017999999999999998,10,923735815,13.81,10.31,0,-1,0,2023:2:4:7:23:15:200,2023-02-04 07:23:15.200,2330.355,0.060315835400000885
