#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,GNSS Time [UTC],height[m]
205396200,2021:3:16:9:2:58,3,11.3825262,47.310773,2185620,0,5.87,2021-03-16 09:02:58,2185.62
205396300,2021:3:16:9:2:58,3,11.382526,47.3107729,2185576,0,5.87,2021-03-16 09:02:58,2185.576
205396400,2021:3:16:9:2:58,3,11.382526,47.3107731,2185530,0,5.87,2021-03-16 09:02:58,2185.53
205396500,2021:3:16:9:2:58,3,11.382526,47.3107731,2185498,1,5.87,2021-03-16 09:02:58,2185.498
205396600,2021:3:16:9:2:58,3,11.3825259,47.3107731,2185450,1,5.87,2021-03-16 09:02:58,2185.45
205396700,2021:3:16:9:2:58,3,11.382526,47.3107732,2185407,1,5.87,2021-03-16 09:02:58,2185.407
205396800,2021:3:16:9:2:58,3,11.3825256,47.3107733,2185357,1,5.87,2021-03-16 09:02:58,2185.357
205396900,2021:3:16:9:2:58,3,11.3825256,47.3107733,2185292,1,5.87,2021-03-16 09:02:58,2185.292
205397000,2021:3:16:9:2:59,3,11.3825255,47.3107733,2185268,1,5.87,2021-03-16 09:02:59,2185.268
205397100,2021:3:16:9:2:59,3,11.3825256,47.3107734,2185225,1,5.87,2021-03-16 09:02:59,2185.225
205397200,2021:3:16:9:2:59,3,11.3825254,47.3107736,2185165,1,5.87,2021-03-16 09:02:59,2185.165
205397300,2021:3:16:9:2:59,3,11.3825252,47.3107736,2185106,1,5.87,2021-03-16 09:02:59,2185.106
205397400,2021:3:16:9:2:59,3,11.3825253,47.3107738,2185058,1,5.87,2021-03-16 09:02:59,2185.058
205397500,2021:3:16:9:2:59,3,11.3825252,47.310774,2184984,0,5.87,2021-03-16 09:02:59,2184.984
205397600,2021:3:16:9:2:59,3,11.3825252,47.3107742,2184940,0,5.87,2021-03-16 09:02:59,2184.94
205397700,2021:3:16:9:2:59,3,11.3825251,47.3107741,2184882,0,5.87,2021-03-16 09:02:59,2184.882
205397800,2021:3:16:9:2:59,3,11.3825248,47.3107742,2184870,0,5.81,2021-03-16 09:02:59,2184.87
205397900,2021:3:16:9:2:59,3,11.3825249,47.3107744,2184822,0,5.81,2021-03-16 09:02:59,2184.822
205398000,2021:3:16:9:3:0,3,11.382525,47.3107746,2184752,0,5.81,2021-03-16 09:03:00,2184.752
205398100,2021:3:16:9:3:0,3,11.382525,47.3107748,2184696,0,5.81,2021-03-16 09:03:00,2184.696
205398200,2021:3:16:9:3:0,3,11.382525,47.3107751,2184611,0,5.81,2021-03-16 09:03:00,2184.611
205398300,2021:3:16:9:3:0,3,11.3825247,47.3107752,2184582,0,5.81,2021-03-16 09:03:00,2184.582
205398400,2021:3:16:9:3:0,3,11.3825247,47.3107754,2184512,0,5.81,2021-03-16 09:03:00,2184.512
205398500,2021:3:16:9:3:0,3,11.3825247,47.3107756,2184477,1,5.87,2021-03-16 09:03:00,2184.477
205398600,2021:3:16:9:3:0,3,11.3825247,47.3107758,2184421,1,5.87,2021-03-16 09:03:00,2184.421
205398700,2021:3:16:9:3:0,3,11.3825251,47.3107761,2184358,1,5.87,2021-03-16 09:03:00,2184.358
205398800,2021:3:16:9:3:0,3,11.3825251,47.3107765,2184318,1,5.87,2021-03-16 09:03:00,2184.318
205398900,2021:3:16:9:3:0,3,11.382525,47.3107765,2184267,1,5.87,2021-03-16 09:03:00,2184.267
205399000,2021:3:16:9:3:1,3,11.3825249,47.3107768,2184203,1,5.87,2021-03-16 09:03:01,2184.203
205399100,2021:3:16:9:3:1,3,11.3825248,47.310777,2184158,1,5.87,2021-03-16 09:03:01,2184.158
205399200,2021:3:16:9:3:1,3,11.3825251,47.3107773,2184111,1,5.87,2021-03-16 09:03:01,2184.111
205399300,2021:3:16:9:3:1,3,11.382525,47.3107777,2184032,1,5.87,2021-03-16 09:03:01,2184.032
205399400,2021:3:16:9:3:1,3,11.3825249,47.310778,2183952,1,5.87,2021-03-16 09:03:01,2183.952
205399500,2021:3:16:9:3:1,3,11.3825254,47.3107781,2183864,0,5.87,2021-03-16 09:03:01,2183.864
205399600,2021:3:16:9:3:1,3,11.3825252,47.3107785,2183810,0,5.87,2021-03-16 09:03:01,2183.81
205399700,2021:3:16:9:3:1,3,11.3825247,47.3107787,2183792,0,5.87,2021-03-16 09:03:01,2183.792
205399800,2021:3:16:9:3:1,3,11.382525,47.3107791,2183684,0,5.87,2021-03-16 09:03:01,2183.684
205399900,2021:3:16:9:3:1,3,11.3825251,47.3107793,2183615,0,5.87,2021-03-16 09:03:01,2183.615
205400000,2021:3:16:9:3:2,3,11.382525,47.3107795,2183553,0,5.87,2021-03-16 09:03:02,2183.553
205400100,2021:3:16:9:3:2,3,11.3825253,47.3107798,2183491,0,5.87,2021-03-16 09:03:02,2183.491
205400200,2021:3:16:9:3:2,3,11.3825251,47.31078,2183425,0,5.87,2021-03-16 09:03:02,2183.425
205400300,2021:3:16:9:3:2,3,11.3825249,47.3107803,2183363,0,5.87,2021-03-16 09:03:02,2183.363
205400400,2021:3:16:9:3:2,3,11.3825249,47.3107805,2183294,0,5.87,2021-03-16 09:03:02,2183.294
205400500,2021:3:16:9:3:2,3,11.3825249,47.3107809,2183216,1,5.87,2021-03-16 09:03:02,2183.216
205400600,2021:3:16:9:3:2,3,11.3825249,47.3107811,2183170,1,5.87,2021-03-16 09:03:02,2183.17
205400700,2021:3:16:9:3:2,3,11.3825248,47.3107811,2183132,1,5.87,2021-03-16 09:03:02,2183.132
205400800,2021:3:16:9:3:2,3,11.3825246,47.3107814,2183076,1,5.81,2021-03-16 09:03:02,2183.076
205400900,2021:3:16:9:3:2,3,11.3825245,47.3107815,2183016,1,5.81,2021-03-16 09:03:02,2183.016
205401000,2021:3:16:9:3:3,3,11.3825245,47.3107818,2182953,1,5.81,2021-03-16 09:03:03,2182.953
205401100,2021:3:16:9:3:3,3,11.3825247,47.3107821,2182907,1,5.81,2021-03-16 09:03:03,2182.907
205401200,2021:3:16:9:3:3,3,11.3825245,47.3107823,2182858,1,5.81,2021-03-16 09:03:03,2182.858
205401300,2021:3:16:9:3:3,3,11.3825244,47.3107824,2182814,1,5.81,2021-03-16 09:03:03,2182.814
205401400,2021:3:16:9:3:3,3,11.3825242,47.3107825,2182779,1,5.81,2021-03-16 09:03:03,2182.779
205401500,2021:3:16:9:3:3,3,11.3825238,47.3107826,2182731,0,5.87,2021-03-16 09:03:03,2182.731
205401600,2021:3:16:9:3:3,3,11.382524,47.3107831,2182669,0,5.87,2021-03-16 09:03:03,2182.669
205401700,2021:3:16:9:3:3,3,11.3825242,47.3107834,2182614,0,5.87,2021-03-16 09:03:03,2182.614
205401800,2021:3:16:9:3:3,3,11.3825238,47.3107835,2182555,0,5.87,2021-03-16 09:03:03,2182.555
205401900,2021:3:16:9:3:3,3,11.3825233,47.3107835,2182566,0,5.87,2021-03-16 09:03:03,2182.566
205402000,2021:3:16:9:3:4,3,11.3825233,47.3107837,2182512,0,5.87,2021-03-16 09:03:04,2182.512
205402100,2021:3:16:9:3:4,3,11.3825233,47.3107841,2182438,0,5.87,2021-03-16 09:03:04,2182.438
205402200,2021:3:16:9:3:4,3,11.3825232,47.3107842,2182412,0,5.87,2021-03-16 09:03:04,2182.412
205402300,2021:3:16:9:3:4,3,11.3825229,47.3107843,2182382,0,5.81,2021-03-16 09:03:04,2182.382
205402400,2021:3:16:9:3:4,3,11.3825228,47.3107847,2182306,0,5.81,2021-03-16 09:03:04,2182.306
205402500,2021:3:16:9:3:4,3,11.3825226,47.3107848,2182283,1,5.81,2021-03-16 09:03:04,2182.283
205402600,2021:3:16:9:3:4,3,11.3825224,47.3107851,2182215,1,5.81,2021-03-16 09:03:04,2182.215
205402700,2021:3:16:9:3:4,3,11.3825221,47.3107852,2182188,1,5.81,2021-03-16 09:03:04,2182.188
205402800,2021:3:16:9:3:4,3,11.3825221,47.3107853,2182151,1,5.81,2021-03-16 09:03:04,2182.151
205402900,2021:3:16:9:3:4,3,11.3825221,47.3107856,2182070,1,5.81,2021-03-16 09:03:04,2182.07
205403000,2021:3:16:9:3:5,3,11.3825217,47.3107858,2182027,1,5.87,2021-03-16 09:03:05,2182.027
205403100,2021:3:16:9:3:5,3,11.3825216,47.3107859,2181985,1,5.87,2021-03-16 09:03:05,2181.985
205403200,2021:3:16:9:3:5,3,11.3825215,47.3107863,2181932,1,5.87,2021-03-16 09:03:05,2181.932
205403300,2021:3:16:9:3:5,3,11.3825212,47.3107863,2181888,1,5.87,2021-03-16 09:03:05,2181.888
205403400,2021:3:16:9:3:5,3,11.382521,47.3107865,2181846,1,5.87,2021-03-16 09:03:05,2181.846
205403500,2021:3:16:9:3:5,3,11.3825208,47.3107864,2181819,0,5.87,2021-03-16 09:03:05,2181.819
205403600,2021:3:16:9:3:5,3,11.3825208,47.3107867,2181780,0,5.87,2021-03-16 09:03:05,2181.78
205403700,2021:3:16:9:3:5,3,11.3825206,47.310787,2181703,0,5.87,2021-03-16 09:03:05,2181.703
205403800,2021:3:16:9:3:5,3,11.3825203,47.3107869,2181648,0,5.81,2021-03-16 09:03:05,2181.648
205403900,2021:3:16:9:3:5,3,11.3825201,47.3107871,2181585,0,5.81,2021-03-16 09:03:05,2181.585
205404000,2021:3:16:9:3:6,3,11.3825199,47.3107875,2181520,0,5.81,2021-03-16 09:03:06,2181.52
205404100,2021:3:16:9:3:6,3,11.3825197,47.3107873,2181511,0,5.81,2021-03-16 09:03:06,2181.511
205404200,2021:3:16:9:3:6,3,11.3825194,47.3107872,2181508,0,5.81,2021-03-16 09:03:06,2181.508
205404300,2021:3:16:9:3:6,3,11.3825191,47.3107875,2181442,0,5.81,2021-03-16 09:03:06,2181.442
205404400,2021:3:16:9:3:6,3,11.382519,47.3107877,2181384,0,5.81,2021-03-16 09:03:06,2181.384
205404500,2021:3:16:9:3:6,3,11.3825186,47.3107879,2181356,1,5.87,2021-03-16 09:03:06,2181.356
205404600,2021:3:16:9:3:6,3,11.3825184,47.310788,2181317,1,5.87,2021-03-16 09:03:06,2181.317
205404700,2021:3:16:9:3:6,3,11.3825183,47.3107881,2181298,1,5.87,2021-03-16 09:03:06,2181.298
205404800,2021:3:16:9:3:6,3,11.3825183,47.3107881,2181258,1,5.87,2021-03-16 09:03:06,2181.258
205404900,2021:3:16:9:3:6,3,11.3825179,47.3107884,2181202,1,5.87,2021-03-16 09:03:06,2181.202
205405000,2021:3:16:9:3:7,3,11.3825176,47.3107883,2181185,1,5.87,2021-03-16 09:03:07,2181.185
205405100,2021:3:16:9:3:7,3,11.3825174,47.3107886,2181098,1,5.87,2021-03-16 09:03:07,2181.098
205405200,2021:3:16:9:3:7,3,11.3825175,47.3107889,2181060,1,5.87,2021-03-16 09:03:07,2181.06
205405300,2021:3:16:9:3:7,3,11.3825172,47.3107889,2181014,1,5.81,2021-03-16 09:03:07,2181.014
205405400,2021:3:16:9:3:7,3,11.3825169,47.3107891,2180986,1,5.81,2021-03-16 09:03:07,2180.986
205405500,2021:3:16:9:3:7,3,11.3825168,47.3107891,2180964,0,5.81,2021-03-16 09:03:07,2180.964
205405600,2021:3:16:9:3:7,3,11.3825165,47.3107892,2180926,0,5.81,2021-03-16 09:03:07,2180.926
205405700,2021:3:16:9:3:7,3,11.3825162,47.3107892,2180892,0,5.81,2021-03-16 09:03:07,2180.892
205405800,2021:3:16:9:3:7,3,11.3825159,47.3107897,2180827,0,5.81,2021-03-16 09:03:07,2180.827
205405900,2021:3:16:9:3:7,3,11.3825157,47.3107899,2180760,0,5.81,2021-03-16 09:03:07,2180.76
205406000,2021:3:16:9:3:8,3,11.3825156,47.3107899,2180749,0,5.87,2021-03-16 09:03:08,2180.749
205406100,2021:3:16:9:3:8,3,11.3825153,47.31079,2180707,0,5.87,2021-03-16 09:03:08,2180.707
205406200,2021:3:16:9:3:8,3,11.382515,47.31079,2180678,0,5.87,2021-03-16 09:03:08,2180.678
205406300,2021:3:16:9:3:8,3,11.3825148,47.3107904,2180631,0,5.87,2021-03-16 09:03:08,2180.631
205406400,2021:3:16:9:3:8,3,11.3825146,47.3107902,2180600,0,5.87,2021-03-16 09:03:08,2180.6
205406500,2021:3:16:9:3:8,3,11.3825146,47.3107905,2180575,1,5.87,2021-03-16 09:03:08,2180.575
205406600,2021:3:16:9:3:8,3,11.3825142,47.3107904,2180551,1,5.87,2021-03-16 09:03:08,2180.551
205406700,2021:3:16:9:3:8,3,11.3825138,47.3107907,2180517,1,5.87,2021-03-16 09:03:08,2180.517
205406800,2021:3:16:9:3:8,3,11.3825138,47.3107904,2180500,1,5.81,2021-03-16 09:03:08,2180.5
205406900,2021:3:16:9:3:8,3,11.3825134,47.3107905,2180470,1,5.81,2021-03-16 09:03:08,2180.47
205407000,2021:3:16:9:3:9,3,11.3825131,47.3107907,2180444,1,5.81,2021-03-16 09:03:09,2180.444
205407100,2021:3:16:9:3:9,3,11.3825128,47.3107906,2180441,1,5.81,2021-03-16 09:03:09,2180.441
205407200,2021:3:16:9:3:9,3,11.3825125,47.3107907,2180417,1,5.81,2021-03-16 09:03:09,2180.417
205407300,2021:3:16:9:3:9,3,11.3825122,47.3107909,2180371,1,5.81,2021-03-16 09:03:09,2180.371
205407400,2021:3:16:9:3:9,3,11.3825119,47.3107907,2180367,1,5.81,2021-03-16 09:03:09,2180.367
205407500,2021:3:16:9:3:9,3,11.3825117,47.3107909,2180339,0,5.87,2021-03-16 09:03:09,2180.339
205407600,2021:3:16:9:3:9,3,11.3825113,47.310791,2180281,0,5.87,2021-03-16 09:03:09,2180.281
205407700,2021:3:16:9:3:9,3,11.382511,47.310791,2180264,0,5.87,2021-03-16 09:03:09,2180.264
205407800,2021:3:16:9:3:9,3,11.3825104,47.3107909,2180270,0,5.87,2021-03-16 09:03:09,2180.27
205407900,2021:3:16:9:3:9,3,11.3825097,47.3107908,2180267,0,5.87,2021-03-16 09:03:09,2180.267
205408000,2021:3:16:9:3:10,3,11.3825094,47.3107911,2180218,0,5.87,2021-03-16 09:03:10,2180.218
205408100,2021:3:16:9:3:10,3,11.3825091,47.3107909,2180196,0,5.87,2021-03-16 09:03:10,2180.196
205408200,2021:3:16:9:3:10,3,11.3825087,47.3107911,2180161,0,5.87,2021-03-16 09:03:10,2180.161
205408300,2021:3:16:9:3:10,3,11.3825084,47.3107912,2180121,0,5.81,2021-03-16 09:03:10,2180.121
205408400,2021:3:16:9:3:10,3,11.3825082,47.3107911,2180123,0,5.81,2021-03-16 09:03:10,2180.123
205408500,2021:3:16:9:3:10,3,11.3825078,47.310791,2180105,1,5.81,2021-03-16 09:03:10,2180.105
205408600,2021:3:16:9:3:10,3,11.3825076,47.3107913,2180068,1,5.81,2021-03-16 09:03:10,2180.068
205408700,2021:3:16:9:3:10,3,11.3825074,47.3107915,2180047,1,5.81,2021-03-16 09:03:10,2180.047
205408800,2021:3:16:9:3:10,3,11.3825072,47.3107913,2180057,1,5.81,2021-03-16 09:03:10,2180.057
205408900,2021:3:16:9:3:10,3,11.3825068,47.3107913,2180018,1,5.81,2021-03-16 09:03:10,2180.018
205409000,2021:3:16:9:3:11,3,11.3825067,47.3107915,2179984,1,5.81,2021-03-16 09:03:11,2179.984
205409100,2021:3:16:9:3:11,3,11.3825064,47.3107918,2179912,1,5.87,2021-03-16 09:03:11,2179.912
205409200,2021:3:16:9:3:11,3,11.3825059,47.3107918,2179898,1,5.87,2021-03-16 09:03:11,2179.898
205409300,2021:3:16:9:3:11,3,11.3825057,47.3107918,2179895,1,5.87,2021-03-16 09:03:11,2179.895
205409400,2021:3:16:9:3:11,3,11.3825053,47.3107918,2179891,1,5.87,2021-03-16 09:03:11,2179.891
205409500,2021:3:16:9:3:11,3,11.3825051,47.3107921,2179844,0,5.87,2021-03-16 09:03:11,2179.844
205409600,2021:3:16:9:3:11,3,11.3825049,47.3107921,2179805,0,5.87,2021-03-16 09:03:11,2179.805
205409700,2021:3:16:9:3:11,3,11.382505,47.3107921,2179796,0,5.87,2021-03-16 09:03:11,2179.796
205409800,2021:3:16:9:3:11,3,11.3825047,47.3107924,2179745,0,5.87,2021-03-16 09:03:11,2179.745
205409900,2021:3:16:9:3:11,3,11.3825047,47.3107924,2179737,0,5.87,2021-03-16 09:03:11,2179.737
205410000,2021:3:16:9:3:12,3,11.3825045,47.3107925,2179683,0,5.87,2021-03-16 09:03:12,2179.683
205410100,2021:3:16:9:3:12,3,11.3825045,47.3107928,2179642,0,5.87,2021-03-16 09:03:12,2179.642
205410200,2021:3:16:9:3:12,3,11.3825045,47.3107927,2179686,0,5.87,2021-03-16 09:03:12,2179.686
205410300,2021:3:16:9:3:12,3,11.3825042,47.3107927,2179667,0,5.87,2021-03-16 09:03:12,2179.667
205410400,2021:3:16:9:3:12,3,11.3825042,47.310793,2179614,0,5.87,2021-03-16 09:03:12,2179.614
205410500,2021:3:16:9:3:12,3,11.3825043,47.3107933,2179568,1,5.87,2021-03-16 09:03:12,2179.568
205410600,2021:3:16:9:3:12,3,11.3825037,47.3107931,2179586,1,5.81,2021-03-16 09:03:12,2179.586
205410700,2021:3:16:9:3:12,3,11.3825038,47.3107933,2179528,1,5.81,2021-03-16 09:03:12,2179.528
205410800,2021:3:16:9:3:12,3,11.3825038,47.3107938,2179411,1,5.81,2021-03-16 09:03:12,2179.411
205410900,2021:3:16:9:3:12,3,11.3825035,47.3107939,2179414,1,5.81,2021-03-16 09:03:12,2179.414
205411000,2021:3:16:9:3:13,3,11.3825035,47.3107938,2179418,1,5.81,2021-03-16 09:03:13,2179.418
205411100,2021:3:16:9:3:13,3,11.3825034,47.3107937,2179432,1,5.81,2021-03-16 09:03:13,2179.432
205411200,2021:3:16:9:3:13,3,11.3825033,47.3107941,2179387,1,5.81,2021-03-16 09:03:13,2179.387
205411300,2021:3:16:9:3:13,3,11.3825032,47.310794,2179391,1,5.81,2021-03-16 09:03:13,2179.391
205411400,2021:3:16:9:3:13,3,11.382503,47.3107939,2179436,1,5.81,2021-03-16 09:03:13,2179.436
205411500,2021:3:16:9:3:13,3,11.3825029,47.3107939,2179424,1,5.81,2021-03-16 09:03:13,2179.424
205411600,2021:3:16:9:3:13,3,11.3825031,47.3107942,2179378,0,5.81,2021-03-16 09:03:13,2179.378
205411700,2021:3:16:9:3:13,3,11.3825028,47.3107943,2179381,0,5.81,2021-03-16 09:03:13,2179.381
205411800,2021:3:16:9:3:13,3,11.3825026,47.3107944,2179363,0,5.81,2021-03-16 09:03:13,2179.363
205411900,2021:3:16:9:3:13,3,11.3825027,47.3107944,2179341,0,5.81,2021-03-16 09:03:13,2179.341
205412000,2021:3:16:9:3:14,3,11.3825025,47.3107943,2179373,0,5.81,2021-03-16 09:03:14,2179.373
205412100,2021:3:16:9:3:14,3,11.3825025,47.310795,2179301,0,5.81,2021-03-16 09:03:14,2179.301
205412200,2021:3:16:9:3:14,3,11.3825023,47.3107944,2179367,0,5.81,2021-03-16 09:03:14,2179.367
205412300,2021:3:16:9:3:14,3,11.3825024,47.3107946,2179365,0,5.81,2021-03-16 09:03:14,2179.365
205412400,2021:3:16:9:3:14,3,11.3825023,47.3107951,2179279,0,5.81,2021-03-16 09:03:14,2179.279
