,#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#
14602,205344000,2021-03-16 09:02:06,3,11.3833232,47.3122122,2324.16,0,6.81
14603,205344100,2021-03-16 09:02:06,3,11.3833237,47.312212,2324.159,0,6.81
14604,205344200,2021-03-16 09:02:06,3,11.3833237,47.312212,2324.125,0,6.81
14605,205344300,2021-03-16 09:02:06,3,11.3833237,47.3122121,2324.094,0,6.81
14606,205344400,2021-03-16 09:02:06,3,11.3833236,47.312212,2324.044,0,6.81
14607,205344500,2021-03-16 09:02:06,3,11.3833235,47.312212,2324.03,1,6.81
14608,205344600,2021-03-16 09:02:06,3,11.3833235,47.312212,2324.03,1,6.81
14609,205344700,2021-03-16 09:02:06,3,11.3833235,47.3122119,2324.014,1,6.81
14610,205344800,2021-03-16 09:02:06,3,11.3833234,47.312212,2323.976,1,6.81
14611,205344900,2021-03-16 09:02:06,3,11.3833236,47.3122118,2323.927,1,6.81
14612,205345000,2021-03-16 09:02:07,3,11.3833234,47.3122118,2323.913,1,6.81
14613,205345100,2021-03-16 09:02:07,3,11.3833235,47.3122119,2323.895,1,6.81
14614,205345200,2021-03-16 09:02:07,3,11.3833233,47.3122118,2323.833,1,6.81
14615,205345300,2021-03-16 09:02:07,3,11.3833234,47.3122116,2323.799,1,6.81
14616,205345400,2021-03-16 09:02:07,3,11.3833233,47.3122115,2323.752,1,6.81
14617,205345500,2021-03-16 09:02:07,3,11.3833232,47.3122115,2323.723,0,6.81
14618,205345600,2021-03-16 09:02:07,3,11.3833231,47.3122115,2323.678,0,6.81
14619,205345700,2021-03-16 09:02:07,3,11.3833231,47.3122117,2323.651,0,6.81
14620,205345800,2021-03-16 09:02:07,3,11.383323,47.3122115,2323.623,0,6.81
14621,205345900,2021-03-16 09:02:07,3,11.383323,47.3122115,2323.601,0,6.81
14622,205346000,2021-03-16 09:02:08,3,11.3833229,47.3122115,2323.567,0,6.81
14623,205346100,2021-03-16 09:02:08,3,11.383323,47.3122114,2323.552,0,6.81
14624,205346200,2021-03-16 09:02:08,3,11.3833229,47.3122114,2323.523,0,6.81
14625,205346300,2021-03-16 09:02:08,3,11.383323,47.3122113,2323.495,0,6.81
14626,205346400,2021-03-16 09:02:08,3,11.3833229,47.3122113,2323.461,0,6.81
14627,205346500,2021-03-16 09:02:08,3,11.3833229,47.3122112,2323.432,1,6.81
14628,205346600,2021-03-16 09:02:08,3,11.3833228,47.3122112,2323.381,1,6.81
14629,205346700,2021-03-16 09:02:08,3,11.3833229,47.3122108,2323.362,1,6.81
14630,205346800,2021-03-16 09:02:08,3,11.3833229,47.312211,2323.332,1,6.81
14631,205346900,2021-03-16 09:02:08,3,11.3833229,47.3122109,2323.301,1,6.81
14632,205347000,2021-03-16 09:02:09,3,11.3833228,47.3122107,2323.274,1,6.81
14633,205347100,2021-03-16 09:02:09,3,11.3833229,47.3122105,2323.27,1,6.81
14634,205347200,2021-03-16 09:02:09,3,11.3833231,47.3122104,2323.204,1,6.81
