#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],sync signal [ms],Temp [°C]#,GNSS Time [UTC],height[m]
114699700,2021:3:15:7:51:21,3,11.3832499,47.3121739,2336104,0,8.56,2021-03-15 07:51:21,2336.104
114699800,2021:3:15:7:51:21,3,11.3832499,47.3121739,2336082,0,8.56,2021-03-15 07:51:21,2336.082
114699900,2021:3:15:7:51:21,3,11.3832498,47.3121738,2336088,0,8.56,2021-03-15 07:51:21,2336.088
114700000,2021:3:15:7:51:22,3,11.3832501,47.3121738,2336112,0,8.56,2021-03-15 07:51:22,2336.112
114700100,2021:3:15:7:51:22,3,11.3832503,47.3121737,2336097,0,8.56,2021-03-15 07:51:22,2336.097
114700200,2021:3:15:7:51:22,3,11.3832503,47.3121738,2336062,1,8.56,2021-03-15 07:51:22,2336.062
114700300,2021:3:15:7:51:22,3,11.3832504,47.3121739,2336037,1,8.56,2021-03-15 07:51:22,2336.037
114700400,2021:3:15:7:51:22,3,11.3832506,47.3121738,2336023,1,8.56,2021-03-15 07:51:22,2336.023
114700500,2021:3:15:7:51:22,3,11.3832506,47.312174,2335966,1,8.56,2021-03-15 07:51:22,2335.966
114700600,2021:3:15:7:51:22,3,11.3832506,47.3121739,2335985,1,8.56,2021-03-15 07:51:22,2335.985
114700700,2021:3:15:7:51:22,3,11.3832508,47.3121742,2335898,1,8.56,2021-03-15 07:51:22,2335.898
114700800,2021:3:15:7:51:22,3,11.3832507,47.3121739,2335944,1,8.56,2021-03-15 07:51:22,2335.944
114700900,2021:3:15:7:51:22,3,11.3832508,47.3121745,2335831,1,8.56,2021-03-15 07:51:22,2335.831
114701000,2021:3:15:7:51:23,3,11.3832512,47.3121743,2335851,1,8.56,2021-03-15 07:51:23,2335.851
114701100,2021:3:15:7:51:23,3,11.3832512,47.3121744,2335801,1,8.56,2021-03-15 07:51:23,2335.801
114701200,2021:3:15:7:51:23,3,11.3832513,47.3121745,2335778,0,8.56,2021-03-15 07:51:23,2335.778
114701300,2021:3:15:7:51:23,3,11.3832516,47.3121746,2335742,0,8.56,2021-03-15 07:51:23,2335.742
114701400,2021:3:15:7:51:23,3,11.3832516,47.3121748,2335702,0,8.56,2021-03-15 07:51:23,2335.702
114701500,2021:3:15:7:51:23,3,11.3832517,47.3121746,2335754,0,8.56,2021-03-15 07:51:23,2335.754
114701600,2021:3:15:7:51:23,3,11.3832517,47.3121748,2335690,0,8.56,2021-03-15 07:51:23,2335.69
114701700,2021:3:15:7:51:23,3,11.3832518,47.3121749,2335667,0,8.56,2021-03-15 07:51:23,2335.667
114701800,2021:3:15:7:51:23,3,11.3832521,47.3121749,2335689,0,8.56,2021-03-15 07:51:23,2335.689
114701900,2021:3:15:7:51:23,3,11.3832521,47.3121751,2335619,0,8.56,2021-03-15 07:51:23,2335.619
114702000,2021:3:15:7:51:24,3,11.383252,47.3121755,2335542,0,8.56,2021-03-15 07:51:24,2335.542
114702100,2021:3:15:7:51:24,3,11.3832522,47.3121754,2335553,0,8.56,2021-03-15 07:51:24,2335.553
114702200,2021:3:15:7:51:24,3,11.3832524,47.3121757,2335456,1,8.56,2021-03-15 07:51:24,2335.456
114702300,2021:3:15:7:51:24,3,11.3832524,47.3121761,2335369,1,8.56,2021-03-15 07:51:24,2335.369
114702400,2021:3:15:7:51:24,3,11.3832525,47.3121761,2335324,1,8.56,2021-03-15 07:51:24,2335.324
114702500,2021:3:15:7:51:24,3,11.3832526,47.3121761,2335305,1,8.56,2021-03-15 07:51:24,2335.305
114702600,2021:3:15:7:51:24,3,11.3832524,47.3121759,2335287,1,8.56,2021-03-15 07:51:24,2335.287
114702700,2021:3:15:7:51:24,3,11.3832523,47.3121761,2335241,1,8.56,2021-03-15 07:51:24,2335.241
114702800,2021:3:15:7:51:24,3,11.3832522,47.312176,2335240,1,8.56,2021-03-15 07:51:24,2335.24
114702900,2021:3:15:7:51:24,3,11.3832519,47.312176,2335201,1,8.56,2021-03-15 07:51:24,2335.201
114703000,2021:3:15:7:51:25,3,11.3832516,47.3121753,2335246,1,8.56,2021-03-15 07:51:25,2335.246
114703100,2021:3:15:7:51:25,3,11.3832512,47.3121748,2335111,1,8.56,2021-03-15 07:51:25,2335.111
114703200,2021:3:15:7:51:25,3,11.383251,47.3121735,2335093,0,8.56,2021-03-15 07:51:25,2335.093
114703300,2021:3:15:7:51:25,3,11.383251,47.3121723,2334939,0,8.56,2021-03-15 07:51:25,2334.939
114703400,2021:3:15:7:51:25,3,11.3832511,47.3121706,2334918,0,8.56,2021-03-15 07:51:25,2334.918
114703500,2021:3:15:7:51:25,3,11.3832519,47.312169,2334692,0,8.56,2021-03-15 07:51:25,2334.692
114703600,2021:3:15:7:51:25,3,11.3832514,47.3121677,2334593,0,8.56,2021-03-15 07:51:25,2334.593
114703700,2021:3:15:7:51:25,3,11.3832511,47.3121661,2334399,0,8.56,2021-03-15 07:51:25,2334.399
114703800,2021:3:15:7:51:25,3,11.3832507,47.3121638,2334200,0,8.56,2021-03-15 07:51:25,2334.2
114703900,2021:3:15:7:51:25,3,11.3832504,47.3121615,2334056,0,8.56,2021-03-15 07:51:25,2334.056
114704000,2021:3:15:7:51:26,3,11.3832498,47.3121595,2333987,0,8.56,2021-03-15 07:51:26,2333.987
114704100,2021:3:15:7:51:26,3,11.3832497,47.3121582,2333640,0,8.56,2021-03-15 07:51:26,2333.64
114704200,2021:3:15:7:51:26,3,11.3832495,47.3121554,2333639,1,8.56,2021-03-15 07:51:26,2333.639
114704300,2021:3:15:7:51:26,3,11.3832479,47.3121528,2333402,1,8.56,2021-03-15 07:51:26,2333.402
114704400,2021:3:15:7:51:26,3,11.3832476,47.3121501,2333173,1,8.56,2021-03-15 07:51:26,2333.173
114704500,2021:3:15:7:51:26,3,11.383248,47.3121474,2332869,1,8.56,2021-03-15 07:51:26,2332.869
114704600,2021:3:15:7:51:26,3,11.3832481,47.312144,2332716,1,8.56,2021-03-15 07:51:26,2332.716
114704700,2021:3:15:7:51:26,3,11.3832479,47.3121412,2332501,1,8.56,2021-03-15 07:51:26,2332.501
114704800,2021:3:15:7:51:26,3,11.3832466,47.3121388,2332265,1,8.56,2021-03-15 07:51:26,2332.265
114704900,2021:3:15:7:51:26,3,11.3832451,47.3121348,2332119,1,8.56,2021-03-15 07:51:26,2332.119
114705000,2021:3:15:7:51:27,3,11.3832435,47.3121327,2331618,1,8.56,2021-03-15 07:51:27,2331.618
114705100,2021:3:15:7:51:27,3,11.3832428,47.3121296,2331293,1,8.56,2021-03-15 07:51:27,2331.293
114705200,2021:3:15:7:51:27,3,11.383242,47.3121265,2331023,0,8.56,2021-03-15 07:51:27,2331.023
114705300,2021:3:15:7:51:27,3,11.3832407,47.3121234,2331045,0,8.56,2021-03-15 07:51:27,2331.045
114705400,2021:3:15:7:51:27,3,11.3832383,47.3121198,2330849,0,8.56,2021-03-15 07:51:27,2330.849
114705500,2021:3:15:7:51:27,3,11.3832366,47.3121171,2330600,0,8.56,2021-03-15 07:51:27,2330.6
114705600,2021:3:15:7:51:27,3,11.3832361,47.3121143,2330403,0,8.56,2021-03-15 07:51:27,2330.403
114705700,2021:3:15:7:51:27,3,11.3832335,47.312111,2330163,0,8.56,2021-03-15 07:51:27,2330.163
114705800,2021:3:15:7:51:27,3,11.3832315,47.312107,2329972,0,8.56,2021-03-15 07:51:27,2329.972
114705900,2021:3:15:7:51:27,3,11.3832295,47.3121031,2329731,0,8.56,2021-03-15 07:51:27,2329.731
114706000,2021:3:15:7:51:28,3,11.3832271,47.3120992,2329463,0,8.56,2021-03-15 07:51:28,2329.463
114706100,2021:3:15:7:51:28,3,11.3832249,47.3120961,2329043,0,8.56,2021-03-15 07:51:28,2329.043
114706200,2021:3:15:7:51:28,3,11.3832224,47.3120925,2328819,1,8.56,2021-03-15 07:51:28,2328.819
114706300,2021:3:15:7:51:28,3,11.38322,47.3120887,2328615,1,8.56,2021-03-15 07:51:28,2328.615
114706400,2021:3:15:7:51:28,3,11.3832178,47.3120854,2328390,1,8.56,2021-03-15 07:51:28,2328.39
114706500,2021:3:15:7:51:28,3,11.3832149,47.3120829,2327815,1,8.56,2021-03-15 07:51:28,2327.815
114706600,2021:3:15:7:51:28,3,11.3832122,47.3120788,2327627,1,8.56,2021-03-15 07:51:28,2327.627
114706700,2021:3:15:7:51:28,3,11.3832093,47.3120767,2327047,1,8.56,2021-03-15 07:51:28,2327.047
114706800,2021:3:15:7:51:28,3,11.3832064,47.3120733,2326723,1,8.56,2021-03-15 07:51:28,2326.723
114706900,2021:3:15:7:51:28,3,11.3832034,47.3120703,2326214,1,8.56,2021-03-15 07:51:28,2326.214
114707000,2021:3:15:7:51:29,3,11.3832008,47.3120667,2325908,1,8.56,2021-03-15 07:51:29,2325.908
114707100,2021:3:15:7:51:29,3,11.3831978,47.3120628,2325729,1,8.56,2021-03-15 07:51:29,2325.729
114707200,2021:3:15:7:51:29,3,11.3831948,47.3120595,2325482,0,8.56,2021-03-15 07:51:29,2325.482
114707300,2021:3:15:7:51:29,3,11.3831919,47.3120559,2325132,0,8.56,2021-03-15 07:51:29,2325.132
114707400,2021:3:15:7:51:29,3,11.3831887,47.3120519,2324714,0,8.5,2021-03-15 07:51:29,2324.714
114707500,2021:3:15:7:51:29,3,11.3831853,47.3120486,2324237,0,8.5,2021-03-15 07:51:29,2324.237
114707600,2021:3:15:7:51:29,3,11.3831824,47.3120447,2323777,0,8.5,2021-03-15 07:51:29,2323.777
114707700,2021:3:15:7:51:29,3,11.3831786,47.3120403,2323332,0,8.5,2021-03-15 07:51:29,2323.332
114707800,2021:3:15:7:51:29,3,11.3831754,47.3120358,2322827,0,8.5,2021-03-15 07:51:29,2322.827
114707900,2021:3:15:7:51:29,3,11.3831716,47.3120314,2322368,0,8.5,2021-03-15 07:51:29,2322.368
114708000,2021:3:15:7:51:30,3,11.3831685,47.312027,2321939,0,8.5,2021-03-15 07:51:30,2321.939
114708100,2021:3:15:7:51:30,3,11.3831657,47.3120223,2321494,0,8.5,2021-03-15 07:51:30,2321.494
114708200,2021:3:15:7:51:30,3,11.383162,47.3120173,2321089,1,8.5,2021-03-15 07:51:30,2321.089
114708300,2021:3:15:7:51:30,3,11.3831585,47.3120126,2320634,1,8.5,2021-03-15 07:51:30,2320.634
114708400,2021:3:15:7:51:30,3,11.3831553,47.3120069,2320318,1,8.5,2021-03-15 07:51:30,2320.318
114708500,2021:3:15:7:51:30,3,11.3831516,47.312002,2319818,1,8.5,2021-03-15 07:51:30,2319.818
114708600,2021:3:15:7:51:30,3,11.383148,47.3119969,2319308,1,8.5,2021-03-15 07:51:30,2319.308
114708700,2021:3:15:7:51:30,3,11.3831443,47.3119912,2319012,1,8.5,2021-03-15 07:51:30,2319.012
114708800,2021:3:15:7:51:30,3,11.3831404,47.3119852,2318775,1,8.5,2021-03-15 07:51:30,2318.775
114708900,2021:3:15:7:51:30,3,11.3831365,47.311979,2318510,1,8.5,2021-03-15 07:51:30,2318.51
114709000,2021:3:15:7:51:31,3,11.3831316,47.3119729,2318140,1,8.5,2021-03-15 07:51:31,2318.14
114709100,2021:3:15:7:51:31,3,11.3831266,47.3119665,2317921,1,8.5,2021-03-15 07:51:31,2317.921
114709200,2021:3:15:7:51:31,3,11.3831204,47.3119597,2317741,0,8.5,2021-03-15 07:51:31,2317.741
114709300,2021:3:15:7:51:31,3,11.3831146,47.3119529,2317449,0,8.5,2021-03-15 07:51:31,2317.449
114709400,2021:3:15:7:51:31,3,11.3831078,47.3119461,2317233,0,8.5,2021-03-15 07:51:31,2317.233
114709500,2021:3:15:7:51:31,3,11.3831025,47.311939,2316900,0,8.5,2021-03-15 07:51:31,2316.9
114709600,2021:3:15:7:51:31,3,11.3830976,47.3119322,2316538,0,8.5,2021-03-15 07:51:31,2316.538
114709700,2021:3:15:7:51:31,3,11.3830937,47.3119261,2315957,0,8.5,2021-03-15 07:51:31,2315.957
114709800,2021:3:15:7:51:31,3,11.3830881,47.3119196,2315716,0,8.5,2021-03-15 07:51:31,2315.716
114709900,2021:3:15:7:51:31,3,11.3830835,47.3119133,2315362,0,8.5,2021-03-15 07:51:31,2315.362
114710000,2021:3:15:7:51:32,3,11.3830783,47.3119074,2314995,0,8.5,2021-03-15 07:51:32,2314.995
114710100,2021:3:15:7:51:32,3,11.3830734,47.3119013,2314620,0,8.5,2021-03-15 07:51:32,2314.62
114710200,2021:3:15:7:51:32,3,11.3830671,47.3118969,2314018,1,8.5,2021-03-15 07:51:32,2314.018
114710300,2021:3:15:7:51:32,3,11.3830617,47.3118913,2313492,1,8.5,2021-03-15 07:51:32,2313.492
114710400,2021:3:15:7:51:32,3,11.383056,47.3118857,2312582,1,8.5,2021-03-15 07:51:32,2312.582
114710500,2021:3:15:7:51:32,3,11.3830517,47.3118789,2311881,1,8.5,2021-03-15 07:51:32,2311.881
114710600,2021:3:15:7:51:32,3,11.3830464,47.311872,2311168,1,8.5,2021-03-15 07:51:32,2311.168
114710700,2021:3:15:7:51:32,3,11.3830404,47.311865,2310555,1,8.5,2021-03-15 07:51:32,2310.555
114710800,2021:3:15:7:51:32,3,11.3830348,47.3118581,2309836,1,8.5,2021-03-15 07:51:32,2309.836
114710900,2021:3:15:7:51:32,3,11.3830288,47.3118506,2309331,1,8.5,2021-03-15 07:51:32,2309.331
114711000,2021:3:15:7:51:33,3,11.3830238,47.3118438,2308427,1,8.5,2021-03-15 07:51:33,2308.427
114711100,2021:3:15:7:51:33,3,11.3830183,47.3118359,2308059,1,8.5,2021-03-15 07:51:33,2308.059
114711200,2021:3:15:7:51:33,3,11.3830126,47.3118285,2307500,0,8.5,2021-03-15 07:51:33,2307.5
114711300,2021:3:15:7:51:33,3,11.3830073,47.3118213,2306864,0,8.5,2021-03-15 07:51:33,2306.864
114711400,2021:3:15:7:51:33,3,11.3830019,47.3118143,2306077,0,8.5,2021-03-15 07:51:33,2306.077
114711500,2021:3:15:7:51:33,3,11.3829971,47.3118065,2305524,0,8.5,2021-03-15 07:51:33,2305.524
114711600,2021:3:15:7:51:33,3,11.3829914,47.3117983,2304919,0,8.5,2021-03-15 07:51:33,2304.919
114711700,2021:3:15:7:51:33,3,11.3829874,47.3117911,2304093,0,8.5,2021-03-15 07:51:33,2304.093
114711800,2021:3:15:7:51:33,3,11.382983,47.3117836,2303427,0,8.5,2021-03-15 07:51:33,2303.427
114711900,2021:3:15:7:51:33,3,11.382979,47.3117754,2302742,0,8.44,2021-03-15 07:51:33,2302.742
114712000,2021:3:15:7:51:34,3,11.3829753,47.3117663,2302272,0,8.44,2021-03-15 07:51:34,2302.272
114712100,2021:3:15:7:51:34,3,11.3829716,47.3117579,2301683,0,8.44,2021-03-15 07:51:34,2301.683
114712200,2021:3:15:7:51:34,3,11.3829678,47.3117499,2300997,1,8.44,2021-03-15 07:51:34,2300.997
114712300,2021:3:15:7:51:34,3,11.3829649,47.3117416,2300221,1,8.44,2021-03-15 07:51:34,2300.221
114712400,2021:3:15:7:51:34,3,11.3829614,47.3117333,2299567,1,8.44,2021-03-15 07:51:34,2299.567
114712500,2021:3:15:7:51:34,3,11.382958,47.3117248,2299036,1,8.44,2021-03-15 07:51:34,2299.036
114712600,2021:3:15:7:51:34,3,11.3829549,47.311717,2298271,1,8.44,2021-03-15 07:51:34,2298.271
114712700,2021:3:15:7:51:34,3,11.3829519,47.3117084,2297590,1,8.44,2021-03-15 07:51:34,2297.59
114712800,2021:3:15:7:51:34,3,11.3829484,47.3116997,2296997,1,8.44,2021-03-15 07:51:34,2296.997
114712900,2021:3:15:7:51:34,3,11.3829453,47.3116907,2296416,1,8.44,2021-03-15 07:51:34,2296.416
114713000,2021:3:15:7:51:35,3,11.3829424,47.3116825,2295711,1,8.44,2021-03-15 07:51:35,2295.711
114713100,2021:3:15:7:51:35,3,11.3829389,47.3116736,2295110,1,8.44,2021-03-15 07:51:35,2295.11
114713200,2021:3:15:7:51:35,3,11.3829355,47.3116637,2294474,0,8.44,2021-03-15 07:51:35,2294.474
114713300,2021:3:15:7:51:35,3,11.3829329,47.3116531,2293905,0,8.44,2021-03-15 07:51:35,2293.905
114713400,2021:3:15:7:51:35,3,11.3829294,47.3116436,2293253,0,8.44,2021-03-15 07:51:35,2293.253
114713500,2021:3:15:7:51:35,3,11.382926,47.3116344,2292703,0,8.44,2021-03-15 07:51:35,2292.703
114713600,2021:3:15:7:51:35,3,11.3829233,47.3116246,2292137,0,8.44,2021-03-15 07:51:35,2292.137
114713700,2021:3:15:7:51:35,3,11.3829219,47.3116148,2291584,0,8.44,2021-03-15 07:51:35,2291.584
114713800,2021:3:15:7:51:35,3,11.382919,47.3116053,2291045,0,8.44,2021-03-15 07:51:35,2291.045
114713900,2021:3:15:7:51:35,3,11.3829176,47.3115948,2290599,0,8.44,2021-03-15 07:51:35,2290.599
114714000,2021:3:15:7:51:36,3,11.3829144,47.3115852,2290068,0,8.44,2021-03-15 07:51:36,2290.068
114714100,2021:3:15:7:51:36,3,11.3829119,47.3115758,2289488,0,8.44,2021-03-15 07:51:36,2289.488
114714200,2021:3:15:7:51:36,3,11.3829099,47.3115658,2288936,1,8.44,2021-03-15 07:51:36,2288.936
114714300,2021:3:15:7:51:36,3,11.3829082,47.3115556,2288370,1,8.44,2021-03-15 07:51:36,2288.37
114714400,2021:3:15:7:51:36,3,11.382906,47.3115453,2287808,1,8.44,2021-03-15 07:51:36,2287.808
114714500,2021:3:15:7:51:36,3,11.3829032,47.3115353,2287197,1,8.44,2021-03-15 07:51:36,2287.197
114714600,2021:3:15:7:51:36,3,11.3829004,47.3115253,2286619,1,8.44,2021-03-15 07:51:36,2286.619
114714700,2021:3:15:7:51:36,3,11.3828992,47.3115142,2286078,1,8.44,2021-03-15 07:51:36,2286.078
114714800,2021:3:15:7:51:36,3,11.3828965,47.3115047,2285487,1,8.44,2021-03-15 07:51:36,2285.487
114714900,2021:3:15:7:51:36,3,11.3828939,47.3114952,2284905,1,8.38,2021-03-15 07:51:36,2284.905
114715000,2021:3:15:7:51:37,3,11.3828898,47.3114844,2284407,1,8.38,2021-03-15 07:51:37,2284.407
114715100,2021:3:15:7:51:37,3,11.3828873,47.3114739,2283868,1,8.38,2021-03-15 07:51:37,2283.868
114715200,2021:3:15:7:51:37,3,11.3828861,47.3114627,2283321,0,8.38,2021-03-15 07:51:37,2283.321
114715300,2021:3:15:7:51:37,3,11.382883,47.3114529,2282773,0,8.38,2021-03-15 07:51:37,2282.773
114715400,2021:3:15:7:51:37,3,11.3828778,47.3114439,2282068,0,8.38,2021-03-15 07:51:37,2282.068
114715500,2021:3:15:7:51:37,3,11.3828723,47.3114342,2281470,0,8.38,2021-03-15 07:51:37,2281.47
114715600,2021:3:15:7:51:37,3,11.3828708,47.3114236,2280957,0,8.38,2021-03-15 07:51:37,2280.957
114715700,2021:3:15:7:51:37,3,11.3828699,47.311412,2280459,0,8.38,2021-03-15 07:51:37,2280.459
114715800,2021:3:15:7:51:37,3,11.3828678,47.3114007,2280036,0,8.38,2021-03-15 07:51:37,2280.036
114715900,2021:3:15:7:51:37,3,11.3828647,47.31139,2279647,0,8.38,2021-03-15 07:51:37,2279.647
114716000,2021:3:15:7:51:38,3,11.3828605,47.3113793,2279187,0,8.38,2021-03-15 07:51:38,2279.187
114716100,2021:3:15:7:51:38,3,11.3828591,47.3113696,2278606,0,8.38,2021-03-15 07:51:38,2278.606
114716200,2021:3:15:7:51:38,3,11.3828574,47.3113596,2278024,1,8.38,2021-03-15 07:51:38,2278.024
114716300,2021:3:15:7:51:38,3,11.3828546,47.3113504,2277420,1,8.38,2021-03-15 07:51:38,2277.42
114716400,2021:3:15:7:51:38,3,11.3828519,47.3113407,2276762,1,8.38,2021-03-15 07:51:38,2276.762
114716500,2021:3:15:7:51:38,3,11.3828478,47.3113312,2276218,1,8.38,2021-03-15 07:51:38,2276.218
114716600,2021:3:15:7:51:38,3,11.3828448,47.3113206,2275699,1,8.38,2021-03-15 07:51:38,2275.699
114716700,2021:3:15:7:51:38,3,11.3828388,47.3113112,2275235,1,8.38,2021-03-15 07:51:38,2275.235
114716800,2021:3:15:7:51:38,3,11.3828341,47.3113021,2274586,1,8.38,2021-03-15 07:51:38,2274.586
114716900,2021:3:15:7:51:38,3,11.3828305,47.3112929,2273878,1,8.38,2021-03-15 07:51:38,2273.878
114717000,2021:3:15:7:51:39,3,11.3828265,47.3112833,2273303,1,8.38,2021-03-15 07:51:39,2273.303
114717100,2021:3:15:7:51:39,3,11.3828218,47.3112737,2272864,1,8.38,2021-03-15 07:51:39,2272.864
114717200,2021:3:15:7:51:39,3,11.3828167,47.3112641,2272258,0,8.38,2021-03-15 07:51:39,2272.258
114717300,2021:3:15:7:51:39,3,11.3828121,47.3112551,2271510,0,8.38,2021-03-15 07:51:39,2271.51
114717400,2021:3:15:7:51:39,3,11.3828069,47.3112456,2270994,0,8.38,2021-03-15 07:51:39,2270.994
114717500,2021:3:15:7:51:39,3,11.3828016,47.3112371,2270271,0,8.38,2021-03-15 07:51:39,2270.271
114717600,2021:3:15:7:51:39,3,11.3827959,47.3112279,2269553,0,8.38,2021-03-15 07:51:39,2269.553
114717700,2021:3:15:7:51:39,3,11.3827906,47.3112197,2268650,0,8.38,2021-03-15 07:51:39,2268.65
114717800,2021:3:15:7:51:39,3,11.382785,47.3112114,2267830,0,8.38,2021-03-15 07:51:39,2267.83
114717900,2021:3:15:7:51:39,3,11.3827793,47.3112042,2266667,0,8.38,2021-03-15 07:51:39,2266.667
114718000,2021:3:15:7:51:40,3,11.3827738,47.3111961,2265656,0,8.38,2021-03-15 07:51:40,2265.656
114718100,2021:3:15:7:51:40,3,11.3827676,47.3111889,2264531,0,8.38,2021-03-15 07:51:40,2264.531
114718200,2021:3:15:7:51:40,3,11.382762,47.3111806,2263642,1,8.38,2021-03-15 07:51:40,2263.642
114718300,2021:3:15:7:51:40,3,11.3827559,47.3111725,2262776,1,8.38,2021-03-15 07:51:40,2262.776
114718400,2021:3:15:7:51:40,3,11.3827501,47.3111654,2261655,1,8.38,2021-03-15 07:51:40,2261.655
114718500,2021:3:15:7:51:40,3,11.3827437,47.3111568,2260799,1,8.38,2021-03-15 07:51:40,2260.799
114718600,2021:3:15:7:51:40,3,11.3827372,47.3111489,2259734,1,8.38,2021-03-15 07:51:40,2259.734
114718700,2021:3:15:7:51:40,3,11.3827317,47.3111392,2259006,1,8.38,2021-03-15 07:51:40,2259.006
114718800,2021:3:15:7:51:40,3,11.3827268,47.31113,2258171,1,8.38,2021-03-15 07:51:40,2258.171
114718900,2021:3:15:7:51:40,3,11.3827213,47.31112,2257648,1,8.38,2021-03-15 07:51:40,2257.648
114719000,2021:3:15:7:51:41,3,11.3827157,47.3111106,2256962,1,8.38,2021-03-15 07:51:41,2256.962
114719100,2021:3:15:7:51:41,3,11.38271,47.3111019,2256131,1,8.38,2021-03-15 07:51:41,2256.131
114719200,2021:3:15:7:51:41,3,11.3827029,47.3110937,2255156,0,8.38,2021-03-15 07:51:41,2255.156
114719300,2021:3:15:7:51:41,3,11.3826965,47.3110863,2254028,0,8.38,2021-03-15 07:51:41,2254.028
114719400,2021:3:15:7:51:41,3,11.3826901,47.3110787,2252938,0,8.38,2021-03-15 07:51:41,2252.938
114719500,2021:3:15:7:51:41,3,11.3826849,47.3110686,2252378,0,8.38,2021-03-15 07:51:41,2252.378
114719600,2021:3:15:7:51:41,3,11.3826786,47.3110593,2251446,0,8.38,2021-03-15 07:51:41,2251.446
114719700,2021:3:15:7:51:41,3,11.382672,47.3110505,2250445,0,8.38,2021-03-15 07:51:41,2250.445
114719800,2021:3:15:7:51:41,3,11.382666,47.3110413,2249659,0,8.38,2021-03-15 07:51:41,2249.659
114719900,2021:3:15:7:51:41,3,11.3826589,47.311034,2248575,0,8.38,2021-03-15 07:51:41,2248.575
114720000,2021:3:15:7:51:42,3,11.3826528,47.3110252,2247788,0,8.38,2021-03-15 07:51:42,2247.788
114720100,2021:3:15:7:51:42,3,11.3826459,47.3110178,2246683,0,8.31,2021-03-15 07:51:42,2246.683
114720200,2021:3:15:7:51:42,3,11.3826396,47.31101,2245471,1,8.31,2021-03-15 07:51:42,2245.471
114720300,2021:3:15:7:51:42,3,11.3826327,47.3110026,2244366,1,8.31,2021-03-15 07:51:42,2244.366
114720400,2021:3:15:7:51:42,3,11.3826261,47.3109942,2243169,1,8.31,2021-03-15 07:51:42,2243.169
114720500,2021:3:15:7:51:42,3,11.3826194,47.3109851,2242371,1,8.31,2021-03-15 07:51:42,2242.371
114720600,2021:3:15:7:51:42,3,11.3826115,47.3109735,2242259,1,8.31,2021-03-15 07:51:42,2242.259
114720700,2021:3:15:7:51:42,3,11.3826044,47.3109633,2241566,1,8.31,2021-03-15 07:51:42,2241.566
114720800,2021:3:15:7:51:42,3,11.3825965,47.3109526,2241057,1,8.31,2021-03-15 07:51:42,2241.057
114720900,2021:3:15:7:51:42,3,11.3825888,47.3109423,2240527,1,8.31,2021-03-15 07:51:42,2240.527
114721000,2021:3:15:7:51:43,3,11.382582,47.3109335,2239797,1,8.31,2021-03-15 07:51:43,2239.797
114721100,2021:3:15:7:51:43,3,11.3825748,47.3109245,2238834,1,8.31,2021-03-15 07:51:43,2238.834
114721200,2021:3:15:7:51:43,3,11.3825695,47.3109149,2238061,0,8.31,2021-03-15 07:51:43,2238.061
114721300,2021:3:15:7:51:43,3,11.3825636,47.3109051,2237309,0,8.31,2021-03-15 07:51:43,2237.309
114721400,2021:3:15:7:51:43,3,11.3825569,47.3108959,2236568,0,8.31,2021-03-15 07:51:43,2236.568
114721500,2021:3:15:7:51:43,3,11.382551,47.3108865,2235763,0,8.31,2021-03-15 07:51:43,2235.763
114721600,2021:3:15:7:51:43,3,11.3825441,47.3108772,2235038,0,8.31,2021-03-15 07:51:43,2235.038
114721700,2021:3:15:7:51:43,3,11.3825376,47.3108688,2234074,0,8.31,2021-03-15 07:51:43,2234.074
114721800,2021:3:15:7:51:43,3,11.3825315,47.3108585,2233356,0,8.31,2021-03-15 07:51:43,2233.356
114721900,2021:3:15:7:51:43,3,11.3825265,47.3108493,2232130,0,8.31,2021-03-15 07:51:43,2232.13
114722000,2021:3:15:7:51:44,3,11.3825208,47.3108398,2231066,0,8.31,2021-03-15 07:51:44,2231.066
114722100,2021:3:15:7:51:44,3,11.3825154,47.3108298,2230249,0,8.31,2021-03-15 07:51:44,2230.249
114722200,2021:3:15:7:51:44,3,11.3825096,47.3108198,2229440,1,8.31,2021-03-15 07:51:44,2229.44
114722300,2021:3:15:7:51:44,3,11.382504,47.3108101,2228662,1,8.31,2021-03-15 07:51:44,2228.662
114722400,2021:3:15:7:51:44,3,11.3824978,47.3108017,2227726,1,8.31,2021-03-15 07:51:44,2227.726
114722500,2021:3:15:7:51:44,3,11.3824921,47.3107925,2226897,1,8.31,2021-03-15 07:51:44,2226.897
114722600,2021:3:15:7:51:44,3,11.3824874,47.310783,2226067,1,8.31,2021-03-15 07:51:44,2226.067
114722700,2021:3:15:7:51:44,3,11.3824822,47.3107742,2225118,1,8.31,2021-03-15 07:51:44,2225.118
114722800,2021:3:15:7:51:44,3,11.3824774,47.3107637,2224533,1,8.31,2021-03-15 07:51:44,2224.533
114722900,2021:3:15:7:51:44,3,11.3824731,47.3107537,2223889,1,8.31,2021-03-15 07:51:44,2223.889
114723000,2021:3:15:7:51:45,3,11.3824679,47.3107434,2223278,1,8.31,2021-03-15 07:51:45,2223.278
114723100,2021:3:15:7:51:45,3,11.3824624,47.3107332,2222654,1,8.25,2021-03-15 07:51:45,2222.654
114723200,2021:3:15:7:51:45,3,11.382455,47.3107239,2221838,0,8.25,2021-03-15 07:51:45,2221.838
