#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,timestamp,height[m],date[ms]
4027464319,201115900,2022:2:22:7:51:37,3,11.3832481,47.311964,2321428,35,29,27,46,35443078,168,11,925184775,10.51,3.49,1,-1,0,2022-02-22 07:51:37.900,2321.428,2022:2:22:7:51:37:900
4027565462,201116000,2022:2:22:7:51:38,3,11.3832478,47.3119639,2321407,12,-59,35,60,35443078,168,11,925250311,10.51,3.49,1,-1,0,2022-02-22 07:51:38.000,2321.407,2022:2:22:7:51:38:0
4027664460,201116100,2022:2:22:7:51:38,3,11.3832478,47.311964,2321422,63,-4,33,63,35443078,168,11,925250311,10.51,3.49,1,-1,0,2022-02-22 07:51:38.100,2321.422,2022:2:22:7:51:38:100
4027766505,201116200,2022:2:22:7:51:38,3,11.3832478,47.3119639,2321430,18,-2,29,18,35443078,168,11,925250311,10.49,3.79,1,-1,0,2022-02-22 07:51:38.200,2321.43,2022:2:22:7:51:38:200
4027865510,201116300,2022:2:22:7:51:38,3,11.3832478,47.311964,2321401,36,-2,40,37,35443078,168,11,925250311,10.49,3.79,1,-1,0,2022-02-22 07:51:38.300,2321.401,2022:2:22:7:51:38:300
4027964910,201116400,2022:2:22:7:51:38,3,11.3832481,47.3119639,2321397,15,82,46,83,35443078,168,11,925250311,10.49,3.79,0,-1,0,2022-02-22 07:51:38.400,2321.397,2022:2:22:7:51:38:400
4028063883,201116500,2022:2:22:7:51:38,3,11.3832478,47.3119637,2321410,-37,16,41,40,35443078,168,11,925250311,10.49,3.79,0,-1,0,2022-02-22 07:51:38.500,2321.41,2022:2:22:7:51:38:500
4028164707,201116600,2022:2:22:7:51:38,3,11.3832478,47.3119638,2321390,1,0,49,1,35443078,168,11,925250311,10.49,3.79,0,-1,0,2022-02-22 07:51:38.600,2321.39,2022:2:22:7:51:38:600
4028265539,201116700,2022:2:22:7:51:38,3,11.3832478,47.3119638,2321393,65,25,51,69,35443078,168,11,925250311,10.49,3.79,0,-1,0,2022-02-22 07:51:38.700,2321.393,2022:2:22:7:51:38:700
4028364994,201116800,2022:2:22:7:51:38,3,11.3832478,47.3119638,2321419,55,50,43,75,35443078,168,11,925250311,10.49,3.79,0,-1,0,2022-02-22 07:51:38.800,2321.419,2022:2:22:7:51:38:800
