#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
1910438920,545512100,2023:2:4:7:31:34,3,11.3832305,47.3121688,2315496,-19,1,59,19,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:100,2023-02-04 07:31:34.100,2315.496,0.06199193495931547
1910536086,545512200,2023:2:4:7:31:34,3,11.3832304,47.3121687,2315499,-27,-17,55,32,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:200,2023-02-04 07:31:34.200,2315.499,0.06358458932791812
1910638751,545512300,2023:2:4:7:31:34,3,11.3832304,47.3121688,2315490,38,-10,58,39,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:300,2023-02-04 07:31:34.300,2315.49,0.07005711955254798
1910736071,545512400,2023:2:4:7:31:34,3,11.3832304,47.312169,2315463,38,-12,60,40,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:400,2023-02-04 07:31:34.400,2315.463,0.07202777242147643
1910836905,545512500,2023:2:4:7:31:34,3,11.3832304,47.3121688,2315501,28,13,49,31,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:500,2023-02-04 07:31:34.500,2315.501,0.057913728942281036
1910937740,545512600,2023:2:4:7:31:34,3,11.3832304,47.312169,2315476,55,-20,58,58,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:600,2023-02-04 07:31:34.600,2315.476,0.08239538822045807
1911035308,545512700,2023:2:4:7:31:34,3,11.3832304,47.312169,2315445,19,-15,67,24,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:700,2023-02-04 07:31:34.700,2315.445,0.07123903424387504
1911136339,545512800,2023:2:4:7:31:34,3,11.3832304,47.312169,2315468,72,3,57,72,14542553,0.0151,12,924983047,11.47,3.45,1,-1,0,2023:2:4:7:31:34:800,2023-02-04 07:31:34.800,2315.468,0.09188035698668133
1911236584,545512900,2023:2:4:7:31:34,3,11.3832303,47.312169,2315462,24,-10,56,26,14542553,0.0151,12,924983047,11.39,3.79,0,-1,0,2023:2:4:7:31:34:900,2023-02-04 07:31:34.900,2315.462,0.06174139616173253
1911333754,545513000,2023:2:4:7:31:35,3,11.3832303,47.3121691,2315420,40,-14,65,43,14542553,0.0151,12,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:0,2023-02-04 07:31:35.000,2315.42,0.07759510293826538
1911436418,545513100,2023:2:4:7:31:35,3,11.3832302,47.312169,2315448,46,-11,53,47,14542553,0.0151,12,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:100,2023-02-04 07:31:35.100,2315.448,0.07103520254071216
1911535593,545513200,2023:2:4:7:31:35,3,11.3832302,47.3121692,2315411,68,-25,59,72,14542553,0.0151,12,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:200,2023-02-04 07:31:35.200,2315.411,0.09343446901438462
1911636750,545513300,2023:2:4:7:31:35,3,11.3832302,47.3121692,2315384,-19,7,54,20,14542553,0.0151,12,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:300,2023-02-04 07:31:35.300,2315.384,0.05767148342118486
1911735698,545513400,2023:2:4:7:31:35,3,11.3832304,47.3121692,2315391,35,70,54,78,14542553,0.0151,12,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:400,2023-02-04 07:31:35.400,2315.391,0.09508417323613852
1911834629,545513500,2023:2:4:7:31:35,3,11.3832303,47.3121692,2315370,12,-2,62,12,14542553,0.018000000000000002,11,925048583,11.39,3.79,0,-1,0,2023:2:4:7:31:35:500,2023-02-04 07:31:35.500,2315.37,0.06318227599572526
1911936991,545513600,2023:2:4:7:31:35,3,11.3832302,47.3121693,2315363,69,-38,62,79,14542553,0.018000000000000002,11,925048583,11.35,3.63,0,-1,0,2023:2:4:7:31:35:600,2023-02-04 07:31:35.600,2315.363,0.10024470060806208
1912035567,545513700,2023:2:4:7:31:35,3,11.3832301,47.3121692,2315382,14,-32,47,35,14542553,0.018000000000000002,11,925048583,11.35,3.63,0,-1,0,2023:2:4:7:31:35:700,2023-02-04 07:31:35.700,2315.382,0.0585576638878294
