#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
3828768840,287238400,2023:3:15:7:47:0,3,11.3832564,47.3120453,2295774,-70,-132,-6,149,3989939,0.023700000000000002,9,922758919,9.57,2.99,0,-1,0,2023:3:15:7:47:0:400,2023-03-15 07:47:00.400,2295.774,0.14953260514014996
3828866567,287238500,2023:3:15:7:47:0,3,11.3832565,47.3120455,2295749,-2,-115,-8,115,3989939,0.023700000000000002,9,922758919,9.57,2.99,0,-1,0,2023:3:15:7:47:0:500,2023-03-15 07:47:00.500,2295.749,0.11529527310345382
3828966984,287238600,2023:3:15:7:47:0,3,11.3832566,47.3120455,2295691,-71,-89,0,114,3989939,0.045200000000000004,8,922758919,9.57,2.99,1,-1,0,2023:3:15:7:47:0:600,2023-03-15 07:47:00.600,2295.691,0.11385077953180645
3829067369,287238700,2023:3:15:7:47:0,3,11.3832568,47.3120455,2295708,-75,-131,-18,151,3989939,0.023700000000000002,9,922758919,9.57,2.99,1,-1,0,2023:3:15:7:47:0:700,2023-03-15 07:47:00.700,2295.708,0.1520197355608804
3829165913,287238800,2023:3:15:7:47:0,3,11.3832568,47.3120454,2295731,-96,-123,-28,157,3989939,0.023700000000000002,9,922758919,9.57,2.99,1,-1,0,2023:3:15:7:47:0:800,2023-03-15 07:47:00.800,2295.731,0.1585212919452778
3829266706,287238900,2023:3:15:7:47:0,3,11.3832568,47.3120453,2295733,-98,-116,-32,152,3989939,0.023700000000000002,9,922758919,9.57,2.99,1,-1,0,2023:3:15:7:47:0:900,2023-03-15 07:47:00.900,2295.733,0.15519020587653076
3829367205,287239000,2023:3:15:7:47:1,3,11.3832567,47.3120451,2295735,-113,-77,-31,137,3989939,0.023700000000000002,9,922824455,9.57,2.99,1,-1,0,2023:3:15:7:47:1:0,2023-03-15 07:47:01.000,2295.735,0.1402105559506844
3829467601,287239100,2023:3:15:7:47:1,3,11.3832568,47.3120453,2295727,-35,-103,-37,109,3989939,0.023700000000000002,9,922824455,9.57,2.99,1,-1,0,2023:3:15:7:47:1:100,2023-03-15 07:47:01.100,2295.727,0.11490430801323334
3829563720,287239200,2023:3:15:7:47:1,3,11.3832569,47.3120456,2295633,14,-116,-22,117,3989939,0.045200000000000004,8,922824455,9.59,2.99,1,-1,0,2023:3:15:7:47:1:200,2023-03-15 07:47:01.200,2295.633,0.1188949115816148
3829665938,287239300,2023:3:15:7:47:1,3,11.3832573,47.3120458,2295546,-52,-52,-13,74,3989939,0.045200000000000004,8,922824455,9.59,2.99,1,-1,0,2023:3:15:7:47:1:300,2023-03-15 07:47:01.300,2295.546,0.07467931440499437
3829764640,287239400,2023:3:15:7:47:1,3,11.3832577,47.3120459,2295558,-12,-20,-29,24,3989939,0.045200000000000004,8,922824455,9.59,2.99,1,-1,0,2023:3:15:7:47:1:400,2023-03-15 07:47:01.400,2295.558,0.03721558813185679
3829865382,287239500,2023:3:15:7:47:1,3,11.3832582,47.3120461,2295486,-6,94,-15,94,3989939,0.045200000000000004,8,922824455,9.59,2.99,1,-1,0,2023:3:15:7:47:1:500,2023-03-15 07:47:01.500,2295.486,0.09537819457297354
3829965746,287239600,2023:3:15:7:47:1,3,11.3832582,47.3120462,2295433,2,11,-10,11,3989939,0.045200000000000004,8,922824455,9.59,2.99,1,-1,0,2023:3:15:7:47:1:600,2023-03-15 07:47:01.600,2295.433,0.015
3830066141,287239700,2023:3:15:7:47:1,3,11.3832581,47.3120462,2295473,48,22,-18,52,3989939,0.045200000000000004,8,922824455,9.59,2.99,0,-1,0,2023:3:15:7:47:1:700,2023-03-15 07:47:01.700,2295.473,0.055785302723925415
3830164917,287239800,2023:3:15:7:47:1,3,11.3832577,47.312046,2295455,6,-27,-8,28,3989939,0.045200000000000004,8,922824455,9.59,2.99,0,-1,0,2023:3:15:7:47:1:800,2023-03-15 07:47:01.800,2295.455,0.028792360097775936
3830264645,287239900,2023:3:15:7:47:1,3,11.3832575,47.312046,2295463,-7,-57,-11,57,3989939,0.045200000000000004,8,922824455,9.57,3.11,0,-1,0,2023:3:15:7:47:1:900,2023-03-15 07:47:01.900,2295.463,0.05847221562417487
