x,y,z,h,s,r,g,b
997.50,-2997.50,2186.53,0.00,2186.53,0.71,0.71,0.71
1017.50,-2997.50,2159.72,0.00,2159.72,0.71,0.71,0.71
1037.50,-2997.50,2133.07,0.00,2133.07,0.71,0.71,0.71
1057.50,-2997.50,2106.58,0.00,2106.58,0.71,0.71,0.71
1077.50,-2997.50,2080.26,0.00,2080.26,0.71,0.71,0.71
1097.50,-2997.50,2054.11,0.00,2054.11,0.71,0.71,0.71
1117.50,-2997.50,2028.12,0.00,2028.12,0.71,0.71,0.71
1137.50,-2997.50,2002.30,0.00,2002.30,0.71,0.71,0.71
1157.50,-2997.50,1976.64,0.00,1976.64,0.71,0.71,0.71
1177.50,-2997.50,1951.15,0.00,1951.15,0.71,0.71,0.71
1197.50,-2997.50,1925.83,0.00,1925.83,0.71,0.71,0.71
1217.50,-2997.50,1900.67,0.00,1900.67,0.71,0.71,0.71
1237.50,-2997.50,1875.67,0.00,1875.67,0.71,0.71,0.71
1257.50,-2997.50,1850.84,0.00,1850.84,0.71,0.71,0.71
1277.50,-2997.50,1826.18,0.00,1826.18,0.71,0.71,0.71
1297.50,-2997.50,1801.68,0.00,1801.68,0.71,0.71,0.71
1317.50,-2997.50,1777.34,0.00,1777.34,0.71,0.71,0.71
1337.50,-2997.50,1753.18,0.00,1753.18,0.71,0.71,0.71
1357.50,-2997.50,1729.17,0.00,1729.17,0.71,0.71,0.71
1377.50,-2997.50,1705.34,0.00,1705.34,0.71,0.71,0.71
1397.50,-2997.50,1681.67,0.00,1681.67,0.71,0.71,0.71
1417.50,-2997.50,1658.16,0.00,1658.16,0.71,0.71,0.71
1437.50,-2997.50,1634.82,0.00,1634.82,0.71,0.71,0.71
1457.50,-2997.50,1611.64,0.00,1611.64,0.71,0.71,0.71
1477.50,-2997.50,1588.63,0.00,1588.63,0.71,0.71,0.71
1497.50,-2997.50,1565.79,0.00,1565.79,0.71,0.71,0.71
1517.50,-2997.50,1543.11,0.00,1543.11,0.71,0.71,0.71
1537.50,-2997.50,1520.60,0.00,1520.60,0.71,0.71,0.71
1557.50,-2997.50,1498.25,0.00,1498.25,0.71,0.71,0.71
1577.50,-2997.50,1476.07,0.00,1476.07,0.71,0.71,0.71
1597.50,-2997.50,1454.05,0.00,1454.05,0.71,0.71,0.71
1617.50,-2997.50,1432.20,0.00,1432.20,0.71,0.71,0.71
1637.50,-2997.50,1410.51,0.00,1410.51,0.71,0.71,0.71
1657.50,-2997.50,1388.99,0.00,1388.99,0.71,0.71,0.71
1677.50,-2997.50,1367.64,0.00,1367.64,0.71,0.71,0.71
1697.50,-2997.50,1346.45,0.00,1346.45,0.71,0.71,0.71
1717.50,-2997.50,1325.42,0.00,1325.42,0.71,0.71,0.71
1737.50,-2997.50,1304.56,0.00,1304.56,0.71,0.71,0.71
1757.50,-2997.50,1283.87,0.00,1283.87,0.71,0.71,0.71
1777.50,-2997.50,1263.34,0.00,1263.34,0.71,0.71,0.71
1797.50,-2997.50,1242.98,0.00,1242.98,0.71,0.71,0.71
1817.50,-2997.50,1222.78,0.00,1222.78,0.71,0.71,0.71
1837.50,-2997.50,1202.75,0.00,1202.75,0.71,0.71,0.71
1857.50,-2997.50,1182.88,0.00,1182.88,0.71,0.71,0.71
1877.50,-2997.50,1163.18,0.00,1163.18,0.71,0.71,0.71
1897.50,-2997.50,1143.65,0.00,1143.65,0.71,0.71,0.71
1917.50,-2997.50,1124.28,0.00,1124.28,0.71,0.71,0.71
1937.50,-2997.50,1105.07,0.00,1105.07,0.71,0.71,0.71
1957.50,-2997.50,1086.03,0.00,1086.03,0.71,0.71,0.71
1977.50,-2997.50,1067.16,0.00,1067.16,0.71,0.71,0.71
1997.50,-2997.50,1048.45,0.00,1048.45,0.71,0.71,0.71
2017.50,-2997.50,1029.91,0.00,1029.91,0.71,0.71,0.71
2037.50,-2997.50,1011.53,0.00,1011.53,0.71,0.71,0.71
2057.50,-2997.50,993.32,0.00,993.32,0.71,0.71,0.71
2077.50,-2997.50,975.27,0.00,975.27,0.71,0.71,0.71
2097.50,-2997.50,957.39,0.00,957.39,0.71,0.71,0.71
2117.50,-2997.50,939.67,0.00,939.67,0.71,0.71,0.71
