#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205322200,2021:03:16:09:01:44,3,11.3832085,47.3122348,2322026,1,6.25,2322.026
205322300,2021:03:16:09:01:44,3,11.3832084,47.3122347,2322009,1,6.25,2322.009
205322400,2021:03:16:09:01:44,3,11.3832083,47.3122346,2322005,1,6.25,2322.005
205322500,2021:03:16:09:01:44,3,11.3832083,47.3122346,2322006,1,6.25,2322.006
205322600,2021:03:16:09:01:44,3,11.3832083,47.3122346,2321992,0,6.25,2321.992
205322700,2021:03:16:09:01:44,3,11.3832083,47.3122346,2321985,0,6.25,2321.985
205322800,2021:03:16:09:01:44,3,11.3832083,47.3122345,2321976,0,6.25,2321.976
205322900,2021:03:16:09:01:44,3,11.3832083,47.3122345,2321966,0,6.25,2321.966
205323000,2021:03:16:09:01:45,3,11.3832083,47.3122345,2321943,0,6.25,2321.943
205323100,2021:03:16:09:01:45,3,11.3832083,47.3122345,2321945,0,6.25,2321.945
205323200,2021:03:16:09:01:45,3,11.3832083,47.3122346,2321931,0,6.25,2321.931
205323300,2021:03:16:09:01:45,3,11.3832083,47.3122346,2321929,0,6.25,2321.929
205323400,2021:03:16:09:01:45,3,11.3832084,47.3122346,2321937,0,6.25,2321.937
205323500,2021:03:16:09:01:45,3,11.3832084,47.3122347,2321905,0,6.25,2321.905
205323600,2021:03:16:09:01:45,3,11.3832084,47.3122346,2321893,1,6.25,2321.893
205323700,2021:03:16:09:01:45,3,11.3832084,47.3122346,2321892,1,6.25,2321.892
205323800,2021:03:16:09:01:45,3,11.3832085,47.3122346,2321876,1,6.25,2321.876
205323900,2021:03:16:09:01:45,3,11.3832084,47.3122347,2321859,1,6.25,2321.859
205324000,2021:03:16:09:01:46,3,11.3832085,47.3122346,2321869,1,6.25,2321.869
205324100,2021:03:16:09:01:46,3,11.3832086,47.3122347,2321845,1,6.25,2321.845
205324200,2021:03:16:09:01:46,3,11.3832086,47.3122347,2321843,1,6.25,2321.843
205324300,2021:03:16:09:01:46,3,11.3832086,47.3122348,2321850,1,6.25,2321.85
205324400,2021:03:16:09:01:46,3,11.3832087,47.3122348,2321851,1,6.25,2321.851
205324500,2021:03:16:09:01:46,3,11.3832088,47.3122349,2321847,1,6.25,2321.847
205324600,2021:03:16:09:01:46,3,11.3832088,47.3122349,2321856,0,6.25,2321.856
205324700,2021:03:16:09:01:46,3,11.3832088,47.312235,2321858,0,6.25,2321.858
205324800,2021:03:16:09:01:46,3,11.3832088,47.3122351,2321842,0,6.25,2321.842
205324900,2021:03:16:09:01:46,3,11.3832089,47.3122351,2321814,0,6.25,2321.814
205325000,2021:03:16:09:01:47,3,11.383209,47.3122351,2321811,0,6.25,2321.811
205325100,2021:03:16:09:01:47,3,11.3832088,47.3122352,2321792,0,6.25,2321.792
205325200,2021:03:16:09:01:47,3,11.3832089,47.3122352,2321793,0,6.25,2321.793
205325300,2021:03:16:09:01:47,3,11.3832088,47.3122353,2321791,0,6.25,2321.791
