Time,Distance_to_radar[m],velocity[m/s]
2022-02-22 07:52:10.200,726.8282977164171,0.027928480087537882
2022-02-22 07:52:10.300,726.8238202607678,0.04654030511288038
2022-02-22 07:52:10.400,726.819343090708,0.059042357676502046
2022-02-22 07:52:10.500,726.817104613701,0.05866856057549052
2022-02-22 07:52:10.600,726.8307355779648,0.02598076211353316
2022-02-22 07:52:10.700,726.821581639112,0.03377869150810907
2022-02-22 07:52:10.800,726.8398895706767,0.03238826948140329
2022-02-22 07:52:10.900,726.817104613701,0.040607881008493905
2022-02-22 07:52:11.000,726.8376510783152,0.045088801270381985
2022-02-22 07:52:11.100,726.8376510783152,0.020322401432901576
2022-02-22 07:52:11.200,726.8354126570431,0.03488552708502482
2022-02-22 07:52:11.300,726.8445667618223,0.06268971207462992
2022-02-22 07:52:11.400,726.828697826246,0.03590264614203248
2022-02-22 07:52:11.500,726.8311379146472,0.06818357573492313
2022-02-22 07:52:11.600,726.8289000244222,0.07615773105863909
2022-02-22 07:52:11.700,726.8358165908918,0.06009159675029446
2022-02-22 07:52:11.800,726.8266622062114,0.0338673884437522
2022-02-22 07:52:11.900,726.8449710297422,0.04493328387732194
2022-02-22 07:52:12.000,726.8335788728732,0.06481512169239521
2022-02-22 07:52:12.100,726.8404957211515,0.06836665854054884
2022-02-22 07:52:12.200,726.8427333402133,0.03512833614050059
2022-02-22 07:52:12.300,726.8291036516431,0.03926830783214372
2022-02-22 07:52:12.400,726.8404957211515,0.02709243436828813
2022-02-22 07:52:12.500,726.8268661481219,0.008306623862918075
2022-02-22 07:52:12.600,726.8360207003097,0.014
2022-02-22 07:52:12.700,726.8337832969818,0.05363767332761554
2022-02-22 07:52:12.800,726.8223913580478,0.016673332000533066
2022-02-22 07:52:12.900,726.8315459662863,0.03813135192987524
2022-02-22 07:52:13.000,726.8407006296246,0.06482283548256741
2022-02-22 07:52:13.100,726.8201540699487,0.005477225575051661
2022-02-22 07:52:13.200,726.8248344031865,0.04538722287164087
2022-02-22 07:52:13.300,726.8248344031865,0.023790754506740636
2022-02-22 07:52:13.400,726.8270715190789,0.03408812109811862
2022-02-22 07:52:13.500,726.820360386512,0.025159491250818247
2022-02-22 07:52:13.600,726.8225973589981,0.041352146256270664
2022-02-22 07:52:13.700,726.8181234860397,0.025787593916455253
2022-02-22 07:52:13.800,726.8386700501013,0.059
2022-02-22 07:52:13.900,726.8250415172578,0.03196873472629156
2022-02-22 07:52:14.000,726.8250415172578,0.018627936010197157
2022-02-22 07:52:14.100,726.834196433896,0.04958830507286975
2022-02-22 07:52:14.200,726.8069400601491,0.05189412298131649
2022-02-22 07:52:14.300,726.8274865468957,0.044463468150831416
2022-02-22 07:52:14.400,726.8183315460218,0.07521303078589507
2022-02-22 07:52:14.500,726.8274865468957,0.03860051813123756
2022-02-22 07:52:14.600,726.8116222219633,0.0469041575982343
2022-02-22 07:52:14.700,726.8093859236034,0.02293468988235943
2022-02-22 07:52:14.800,726.8049135429163,0.03410278580995987
2022-02-22 07:52:14.900,726.7935223175447,0.034438350715445126
2022-02-22 07:52:15.000,726.7776592446696,0.044147480109288234
2022-02-22 07:52:15.100,726.784578592207,0.015394804318340652
2022-02-22 07:52:15.200,726.7640324388648,0.05511805511808268
2022-02-22 07:52:15.300,726.761796702196,0.0291547594742265
2022-02-22 07:52:15.400,726.7709519041084,0.029410882339705485
2022-02-22 07:52:15.500,726.7664807031632,0.025199206336708305
2022-02-22 07:52:15.600,726.7506190974397,0.06667083320313315
2022-02-22 07:52:15.700,726.7575391625927,0.07300684899377592
2022-02-22 07:52:15.800,726.7506190974397,0.04912229636326054
2022-02-22 07:52:15.900,726.7483837915867,0.03287856444554719
2022-02-22 07:52:16.000,726.7416783051463,0.027676705006196095
2022-02-22 07:52:16.100,726.7188974817988,0.043382023926967724
2022-02-22 07:52:16.200,726.721132484905,0.044944410108488465
2022-02-22 07:52:16.300,726.7144276912957,0.049749371855331
2022-02-22 07:52:16.400,726.7166625497713,0.0589406481131655
2022-02-22 07:52:16.500,726.7008027279985,0.07492663077971676
2022-02-22 07:52:16.600,726.7077235438916,0.026551836094703508
2022-02-22 07:52:16.700,726.7099581875834,0.058111960903070546
2022-02-22 07:52:16.800,726.6918644700627,0.05048762224545735
2022-02-22 07:52:16.900,726.6918644700627,0.030347981810987038
2022-02-22 07:52:17.000,726.6851615308137,0.04330127018922193
2022-02-22 07:52:17.100,726.6873957715824,0.039774363602702686
2022-02-22 07:52:17.200,726.676005928773,0.06200806399170998
2022-02-22 07:52:17.300,726.6829273614323,0.028460498941515415
2022-02-22 07:52:17.400,726.6670695696162,0.043669211121796093
2022-02-22 07:52:17.500,726.6670695696162,0.036249137920783714
2022-02-22 07:52:17.600,726.6739914024048,0.030099833886584822
2022-02-22 07:52:17.700,726.6739914024048,0.026683328128252668
2022-02-22 07:52:17.800,726.6559007363543,0.0988382517044894
2022-02-22 07:52:17.900,726.6536671852788,0.0577148161220323
2022-02-22 07:52:18.000,726.6583562378304,0.07762731478030141
2022-02-22 07:52:18.100,726.6378110489379,0.0985190336940025
2022-02-22 07:52:18.200,726.6538896954511,0.07460562981437795
2022-02-22 07:52:18.300,726.6333445362797,0.0651766829472013
2022-02-22 07:52:18.400,726.6311113884195,0.07489325737341113
2022-02-22 07:52:18.500,726.6219554448065,0.06938299503480663
2022-02-22 07:52:18.600,726.6174893077966,0.07981854421122951
2022-02-22 07:52:18.700,726.6174893077966,0.054644304369257
2022-02-22 07:52:18.800,726.6130234572453,0.03608323710533743
2022-02-22 07:52:18.900,726.5994018368247,0.04220189569201838
2022-02-22 07:52:19.000,726.5971691341313,0.05033885179461288
2022-02-22 07:52:19.100,726.5904714599102,0.06420280367709809
2022-02-22 07:52:19.200,726.579082901889,0.01979898987322333
2022-02-22 07:52:19.300,726.5585383531474,0.03974921382870358
2022-02-22 07:52:19.400,726.5701538500725,0.06325345840347388
2022-02-22 07:52:19.500,726.549609362318,0.05678908345800274
2022-02-22 07:52:19.600,726.5679217665737,0.054460995216760406
2022-02-22 07:52:19.700,726.5451452982783,0.03215587038162705
2022-02-22 07:52:19.800,726.5223691116083,0.049213819197457126
2022-02-22 07:52:19.900,726.5315252885625,0.015684387141358124
2022-02-22 07:52:20.000,726.5248300788431,0.0733621155638249
2022-02-22 07:52:20.100,726.5225984855399,0.03689173349139343
2022-02-22 07:52:20.200,726.5134421958564,0.02753179979587241
2022-02-22 07:52:20.300,726.5089791688821,0.013490737563232042
2022-02-22 07:52:20.400,726.5067477627695,0.04604345773288535
2022-02-22 07:52:20.500,726.497591443397,0.03742993454442581
2022-02-22 07:52:20.600,726.4839724699193,0.01004987562112089
2022-02-22 07:52:20.700,726.4772789473715,0.03844476557348217
2022-02-22 07:52:20.800,726.4795100498673,0.028089143810376277
2022-02-22 07:52:20.900,726.4636605495854,0.02749545416973504
2022-02-22 07:52:21.000,726.4500423816072,0.034583232931581165
2022-02-22 07:52:21.100,726.4661245104795,0.03921734310225516
2022-02-22 07:52:21.200,726.4319631471108,0.056612719418872644
2022-02-22 07:52:21.300,726.4411196140023,0.05143928459844674
2022-02-22 07:52:21.400,726.4275021381314,0.032
2022-02-22 07:52:21.500,726.4275021381314,0.04049691346263317
2022-02-22 07:52:21.600,726.438889101233,0.036249137920783714
2022-02-22 07:52:21.700,726.4138848933109,0.03721558813185679
2022-02-22 07:52:21.800,726.4230414171273,0.04402272140611028
2022-02-22 07:52:21.900,726.4138848933109,0.05714017850864661
2022-02-22 07:52:22.000,726.4208111638402,0.020639767440550294
2022-02-22 07:52:22.100,726.395807618965,0.02598076211353316
2022-02-22 07:52:22.200,726.395807618965,0.01987460691435179
2022-02-22 07:52:22.300,726.3616480983989,0.057602083295658676
2022-02-22 07:52:22.400,726.3730345346376,0.03622154055254967
2022-02-22 07:52:22.500,726.370804600578,0.023259406699226017
2022-02-22 07:52:22.600,726.3549586433148,0.033421549934136804
2022-02-22 07:52:22.700,726.3549586433148,0.04259107887809371
2022-02-22 07:52:22.800,726.3413427763926,0.007348469228349534
2022-02-22 07:52:22.900,726.3504993658216,0.08259539938761722
2022-02-22 07:52:23.000,726.3254976981591,0.024779023386727734
2022-02-22 07:52:23.100,726.3071846277709,0.05309425580983314
2022-02-22 07:52:23.200,726.3049551997973,0.057706152185014035
2022-02-22 07:52:23.300,726.2663394368218,0.04801041553663121
2022-02-22 07:52:23.400,726.2663394368218,0.01854723699099141
2022-02-22 07:52:23.500,726.2527248331471,0.018681541692269404
2022-02-22 07:52:23.600,726.2299539991822,0.020396078054371138
2022-02-22 07:52:23.700,726.2254963159181,0.03524202037341219
2022-02-22 07:52:23.800,726.202725938434,0.04805205510693585
2022-02-22 07:52:23.900,726.1821844733724,0.09201086892318755
2022-02-22 07:52:24.000,726.1913408550427,0.05947268280479703
2022-02-22 07:52:24.100,726.1685709008409,0.08464632301523795
2022-02-22 07:52:24.200,726.1274887306678,0.16043378696521504
2022-02-22 07:52:24.300,726.0524972759453,0.4564767244887739
2022-02-22 07:52:24.400,725.9841935943158,0.6315330553502326
2022-02-22 07:52:24.500,725.9134196333667,0.694505579531223
2022-02-22 07:52:24.600,725.854275925709,0.7323175540706368
2022-02-22 07:52:24.700,725.7337684812042,0.8213872411962582
2022-02-22 07:52:24.800,725.5425076639075,1.1223871880950886
2022-02-22 07:52:24.900,725.3851543874565,1.192560271013587
2022-02-22 07:52:25.000,723.3230813901556,1.2555237950751867
2022-02-22 07:52:25.100,723.1450156619361,1.455873964325209
2022-02-22 07:52:25.200,722.9967260042914,1.492761869823851
2022-02-22 07:52:25.300,722.8273443553937,1.7313156846745195
2022-02-22 07:52:25.400,722.7085722579518,1.7102216230652683
2022-02-22 07:52:25.500,722.525838059851,1.7873614631629495
2022-02-22 07:52:25.600,722.3636966183458,1.8400092391072387
2022-02-22 07:52:25.700,722.1606771429831,2.0059384337511457
2022-02-22 07:52:25.800,721.9710411492875,2.0712556578076016
2022-02-22 07:52:25.900,721.7522072642997,2.258485775912702
2022-02-22 07:52:26.000,721.5514756407803,2.2507789762657726
2022-02-22 07:52:26.100,721.3276977936504,2.3382164142781994
